-1:48:15 | ThePlatinumCan: 待機
-1:29:19 | hustler one: うおおおああああ ! ! 
-1:21:21 | (Owner) Beatani Ch. 熊谷ちさと: My english tweet is wrong.I start this live stream one and half hours later.Sorry.So,you could rest before starting it.
-1:00:20 | A A: Bear girls are cute.
-59:57 | ユーネ: bear is cute and funny
-35:35 | BunBun, NTRthrologist: Cute and Funny!
-25:26 | chang og: madakana♪
-8:11 | マリヒコ: Love bear girl
-1:55 | GrassHopperMouse: Kuma! :virtualhug:
-1:34 | gyroninja: 待機
0:34 | Dr CEL: Uoh
0:46 | GrassHopperMouse: cute!
0:51 | ThePlatinumCan: Hello!
0:58 | GrassHopperMouse: yes!
0:59 | VampirkoO: Hi!
0:59 | D3bugged: Hello
0:59 | hustler one: Yes
1:04 | Icebox551 Anthony: hello
1:04 | Theblekedet: Hey there Chisato-san!
1:04 | gyroninja: こんばんは
1:07 | Chloro [クロロ]: Hello!
1:08 | フェットチーネ: yes
1:09 | wanted69642: Hi
1:10 | Theblekedet: Yes!
1:12 | ThePlatinumCan: Yes, loud and clear!
1:14 | Takeshi: Hello!
1:21 | Theblekedet: Beartani okay!
1:34 | chang og: haroー
1:38 | hustler one: What a cute voice!
2:12 | Theblekedet: Sure!
2:56 | Qはるけん: banwa
4:09 | gödel_simp: hello!!
4:11 | hustler one: hahaha
4:14 | ユーネ: hello
4:22 | Theblekedet: hahaha
4:22 | GrassHopperMouse: English-Japanese Duolingo is a little iffy
4:25 | GrassHopperMouse: not flexible, exactly.
4:50 | hustler one: ow long have you been studying english?
4:56 | hustler one: how long*
6:15 | GrassHopperMouse: Your English is really very good for someone who only practiced it in school
7:04 | Theblekedet: Your pronunciations is really good!
7:30 | tkhnoman: lol. lets go Slay the Spire
7:34 | Theblekedet: www
7:35 | ユーネ: your English is too good for dualingo 😂
7:36 | Chloro [クロロ]: Duolingo is boring indeed lol
7:40 | gödel_simp: LOL
7:48 | フェットチーネ: Truth
7:56 | ユーネ: 草
7:59 | gyroninja: Not a bad problem to have
8:01 | nicenature: Yeah, duolingo is more of a game than a learning tool ^^
8:05 | hustler one: its true
8:09 | tkhnoman: スレスパ行こう
8:36 | L0rdJ0n3Z: hi
8:57 | VampirkoO: Yeah
9:00 | GrassHopperMouse: I've never heard of slay the spire before I found you
9:02 | gyroninja: I saw your clip of it
9:03 | Nero: I know slay the spire
9:12 | hustler one: Surprise slay the spire stream?
9:15 | Theblekedet: I don't
9:16 | Idle Bear: I only managed one complete run in slay the spire. Addicting game though.
9:18 | フェットチーネ: free talk is the way
9:26 | GrassHopperMouse: I think talking with chat would work nicer as English practice
9:44 | Chloro [クロロ]: very fun game, I played it once years ago lol
9:48 | pakkanen: Konbanwa Betani
10:06 | ユーネ: grass wwwww
10:18 | Cameron Clarke: true i have 300 hours in it and I'm still bad at it
10:33 | hustler one: "addictive" is the word you want to use
10:47 | Qはるけん: wara.
10:51 | GrassHopperMouse: 👆
11:30 | dune: good english :yougotthis:
11:32 | VampirkoO: I have 40 hours total 草
11:34 | Outwith: 2000+ hour TF2 gang reporting in
12:16 | Cameron Clarke: lol
12:35 | ユーネ: I see 草
12:36 | Cameron Clarke: it cured my addiction to real life
12:44 | GrassHopperMouse: I didn't know you can replace one addiction with another.
12:56 | hustler one: Beatani is a true addict.....
12:59 | GrassHopperMouse: ah
13:09 | nicenature: Yes 
13:11 | GrassHopperMouse: yes, "shakes" like "shaking"
13:16 | L0rdJ0n3Z: sounds legit
13:18 | GrassHopperMouse: when your hands are shaking
13:19 | hustler one: doing -> playing 
13:27 | Nero: Yes, its fine. 
13:29 | Idle Bear: Shakes /// withdrawal
13:42 | chang og: スレイザスパイアは薬でもあり毒でもあります。
14:00 | OverMagnet: ○Shake　×snake
14:06 | ユーネ: true
14:08 | Chloro [クロロ]: Don't do drugs kids, do slay the spire instead ww
14:17 | GrassHopperMouse: which evcnt?
14:41 | GrassHopperMouse: drug abuse stream
14:49 | .sandrio: ドイツからおはくま
15:08 | ユーネ: you are a proper gamer
15:30 | VampirkoO: No
15:38 | hustler one: I don't know it 
15:38 | OverMagnet: Ooh, yeah
15:38 | gyroninja: 知らない
15:39 | フェットチーネ: 聞いたことある
15:42 | Chloro [クロロ]: no, is it a JPRG?
15:47 | hustler one: can you spell it
15:47 | 実験: There are many better English teacher than dualingo here...
15:53 | L0rdJ0n3Z: Show us then
15:54 | GrassHopperMouse: can you spell it?
16:00 | chang og: poporo黒磯
16:04 | Cameron Clarke: 😔
16:13 | OverMagnet: I played it on the PSP!
16:21 | Theblekedet: Yeah
16:22 | 桜餅・玉響花 【たまゆらはな】: こんばんは
16:38 | GrassHopperMouse: found it on google
17:11 | GrassHopperMouse: Is Beatani a retro gamer?
17:11 | hustler one: It looks like Harvest Moon
18:40 | Chloro [クロロ]: ooh! the art looks cute
18:49 | ユーネ: kawaii
18:50 | pakkanen: PopoloCrois has Turn Based Combat?
19:08 | GrassHopperMouse: prince?
19:13 | フェットチーネ: prince
19:51 | pakkanen: Turn based combat = you have turn to move/attack, after that you wait computer to move/attack
19:58 | Theblekedet: it has anime too?
20:15 | GrassHopperMouse: It's Japan, everything has an anime.
20:17 | hustler one: wow there's so many
20:59 | Theblekedet: lol
21:38 | フェットチーネ: yes
21:49 | pakkanen: Everyone love to watch anime
21:49 | D3bugged: yes
21:53 | gyroninja: vtubers > anime, but yes
21:55 | GrassHopperMouse: I haven't watched anything new in a long time, I rewatched cromartie high recently
21:56 | nicenature: i watched precure last night 
21:56 | フェットチーネ: FLCL 
21:57 | hustler one: FLCL
21:58 | ユーネ: I started learning japanese because of anime
22:01 | Neolooker: FLCL is nice
22:01 | Outwith: FLCL is great yeah
22:03 | tkhnoman: pretty cure
22:03 | Nero: It's a classic
22:03 | Idle Bear: The pillows!!!
22:09 | ユーネ: it's cute anime!
