-1:34:58 | (New member) ThePlatinumCan: :_sprdo:
-1:30:52 | (New member) Voltage: grey LOVE
-1:29:17 | (New member) Voltage: :_sprdo::_sprdo::_sprdo::_sprdo::_sprdo::_sprdo::_sprdo:
-1:27:25 | Apu 2: cute and funi
-1:23:56 | (New member) ZVN: Top 10 redemption arcs
-36:32 | (New member) TWAIN: waiting for bea while doing time-limited quests in kancolle in the last minute! :_kita:
-33:08 | (New member) Moon Runes: Bear has embraced capitalism? 
-32:14 | (New member) ZVN: She finally realized communism is cringe and that all the cute little girls support the free market
-29:57 | (New member) TWAIN: oh no, bear market
-29:54 | (New member) Ekusupuroshon: capitalism ho!:_sprdo:
-29:42 | (New member) TWAIN: hide your gains
-28:50 | (New member) Ekusupuroshon: Communism is cringe ideology for cringe people.
-27:27 | (New member) Moon Runes: Bear; Capitism, Ho! (probably)
-21:21 | (New member) Tachi: :_sprdo:
-11:35 | (New member) Shippo: :_sprdo:
-10:50 | andrea maly: 🍞🍞
-7:12 | Lichzim The Great: KNEEL
-3:43 | (New member) anonEDM: She will be up to 30 minutes late according to twitter.
-2:25 | (New member) XenMaster220: soon...
-2:18 | (New member) Voltage: :_sprdo::_sprdo::_sprdo::_sprdo::_sprdo::_sprdo:
-2:16 | (New member) XenMaster220: :_sprdo:
-2:13 | (New member) TWAIN: nanako your unis
-2:09 | (New member) Mister Eko: This is a test
-2:01 | (New member) Mister Eko: Don't break your mugs yet
-1:56 | (New member) Luginov: :_sprdo:
-1:41 | Axiis: someone seen a bear around here
-1:40 | (New member) Rye Mountain: So how are you fellow dads
-1:20 | (New member) Moon Runes: □□
-1:12 | (New member) Voltage: the bear is sleeping, she streamed late yesterday, and twitter say
-0:59 | (New member) Voltage: s she’ll be late by at most half an hor
-0:53 | (New member) Steven Frati: Pleased with how well all of the emotes turned out and synergize together.
-0:53 | (New member) Tachi: :_sprdo::_sprdo:
-0:53 | (New member) Voltage: hour
-0:52 | (New member) Ark K.: :_oha::_dayo:
-0:34 | (New member) anonEDM: Cleaning my Chihiro onahole
-0:26 | (New member) Margrave: :_yah:
-0:15 | (New member) Rob G.: i had some cold ones, and how is everyone's friday so far?
-0:13 | (New member) Steven Frati: facking onahole Chihiro
-0:00 | (New member) Ark K.: just finished my handreps
0:17 | (New member) anonEDM: :_kita:
0:18 | (New member) BasedBug: Not that late!
0:23 | (New member) Megiddo: :_kita:
0:23 | Quaraezha: I KNEEL
0:23 | (New member) XenMaster220: Here we go!!
0:24 | (New member) Tachi: :_kita:
0:26 | (New member) Zhnigo: LET'S IKZZZ
0:28 | (New member) Luginov: :_kita:
0:30 | (New member) Voltage: :_kita::_kita::_kita::_kita::_kita::_kita::_kita:
0:30 | (New member) Big Gold: :_kita:
0:34 | Sleep: the timeline is shifting holy
0:37 | (New member) Mister Eko: Told you, it was a test... we passed it...
0:38 | (New member) Steven Frati: :_kita:
0:39 | (New member) TWAIN: i was promised a delay...
0:46 | (New member) Stray Wolf: :_sprdo:
0:59 | (New member) Lee: I love capitalism!
1:18 | (New member) Steven Frati: Bear only pretends things to heighten your enjoyment of her internet production.
1:19 | (New member) max r: :_sprdo:
1:19 | (New member) XenMaster220: :_kita::_kita:
1:22 | (New member) Rob G.: time becomes weird when you approach the black hole
1:23 | (New member) Steven Frati: Very considerate bear.
1:37 | (New member) Mister Eko: 30 min loading screen let's goooooooooooooooooooo
1:59 | (New member) Rob G.: lol
2:50 | Sleep: ( ・∇・)
3:09 | rev: piggybear
3:21 | (New member) TWAIN: help, i'm already moving my head to this music
3:29 | (New member) Zia: 👀
3:41 | (New member) Rob G.: hmm farmhouse or pepperoni?
3:49 | (New member) XenMaster220: Beawaiting...
3:57 | (New member) TWAIN: pepeloni
4:07 | (New member) Rye Mountain: waiting bear
4:07 | (New member) TWAIN: without the pepeloni
4:19 | coba cobra: zzz
4:31 | (New member) XenMaster220: :_oha::_dayo:
4:31 | (New member) Rye Mountain: :_oha::_dayo:
4:34 | (New member) BasedBug: Ohadayo!
4:36 | (New member) XeniVari: Ohadayo!
4:37 | (New member) Tachi: :_oha::_dayo:
4:38 | Axiis: hi bear
4:38 | coba cobra: ohadyooo
4:39 | rev: Ohadayo!
4:39 | (New member) Zed: muted bear
4:39 | (New member) Margrave: :_oha::_dayo::_yah::_sprdo:
4:40 | stuffed idiot: おはだよ！
4:41 | (New member) Tuffee: :_oha::_dayo:
4:42 | (New member) Ark K.: :_oha::_dayo:
4:42 | (New member) Idle Bear: Ohadayo!
4:42 | (New member) Canna: Ohadayo!
4:42 | (New member) CommanderMichael: Ohadayo~~~
4:42 | (New member) Mister Eko: muted bear emote
4:44 | (New member) david johnston: :_oha::_dayo::_sprdo:
4:44 | (New member) anonEDM: :_oha::_dayo:
4:45 | (New member) TWAIN: :_oha::_dayo:🔇:_sprdo:
4:45 | (New member) Kyle: :_oha::_dayo:
4:45 | (New member) Stray Wolf: ohadayo!
4:46 | (New member) Suukotto Funsha: :_oha::_dayo: Bea
4:46 | (New member) LassesAffar: :_oha::_dayo:
4:47 | Alex: cute bear
4:47 | (New member) gyroninja: :_oha::_dayo:
4:48 | (New member) Luginov: :_oha::_dayo:
4:49 | (New member) Zhnigo: :_oha: :_dayo: :_bea: :_bea:
4:50 | (New member) Big Gold: :_oha::_dayo:
4:51 | (New member) MBmasher: :_oha::_dayo:
4:51 | (New member) max r: :_oha::_dayo: good morning!
4:52 | (New member) Zyadarya: :_oha::_dayo:
4:53 | (New member) ThatVidyaGuy: :_oha::_dayo:
4:56 | (New member) Mister Eko: :_oha::_dayo:
4:58 | Mizuki Arisu: Ohadayo!
4:58 | (New member) Zeng: :_oha::_dayo:
4:59 | (New member) CommanderMichael: Good morning, beatani~
4:59 | (New member) Steven Frati: :_oha::_dayo:
5:00 | (New member) Megiddo: Ohadayo~
5:00 | (New member) Ekigo: :_oha::_dayo:
5:04 | (New member) XenMaster220: :_kita::_kita:
5:04 | (New member) Stray Wolf: ohayo
5:05 | Ontack: おはだよー
5:06 | (New member) Margrave: More capitalism!!!:_sprdo:
5:09 | (New member) Voltage: :_oha::_dayo::_oha::_dayo::_oha::_dayo::_oha::_dayo:
5:10 | (New member) sleepypwns: :_oha::_dayo:
5:13 | Axiis: lol what was that noise
5:18 | (New member) LapanNaxela: just in time
5:23 | SpaceTalon: Good morning - its 2AM and I am going to work. Kll me now xDDD
5:27 | (New member) Stray Wolf: sleepy bear
5:30 | (New member) Ark K.: hi sleepy now
5:35 | (New member) Voltage: capitalism :_sprdo:
5:36 | (New member) BasedBug: Capitalism wait for no sleep
5:43 | (New member) TWAIN: ho!
5:45 | (New member) Stray Wolf: volume is high 
5:45 | darukaru: ohadayo 
5:48 | (New member) Rob G.: based :_sprdo:
5:51 | (New member) max r: Socialism, ho!
5:52 | (New member) Mister Eko: socialism bros...
5:52 | (New member) Zeng: capitalism love! communism hate!
6:02 | (New member) Stray Wolf: capitalism ho!
6:05 | (New member) Margrave: Socialism cringe
6:08 | (New member) Zia: Damn
6:19 | (New member) Ekusupuroshon: :_oha::_dayo:
6:20 | (New member) Ghento: Welcome to For My Family!
6:26 | (New member) Rob G.: red is dead
6:26 | (New member) Zia: Every stream is a different economic ideology
6:29 | ᅠᅠ: I didn't expect to get political advice from a bear girl vtuber
6:31 | (New member) RueTobas: :_oha::_dayo:
6:32 | SpaceTalon: communisms = cringe 
6:34 | (New member) Ark K.: eh???
6:36 | (New member) LassesAffar: 🐷s AWAY
6:37 | SpaceTalon: capitalism =based 
6:44 | (New member) RueTobas: More capitalism simulator 
6:45 | coba cobra: 100/10
6:47 | (New member) The Flesh Is Weak: :_sprdo:
6:48 | (New member) Ludd: :_bea::_bea:
6:50 | (New member) Megiddo: hnn?
6:51 | (New member) Margrave: :_sprdo::_sprdo::_sprdo:
6:53 | (New member) Rob G.: don't thread on bear
6:54 | (New member) Stray Wolf: lmao
6:54 | (New member) Ekusupuroshon: Bea??
6:56 | (New member) Ark K.: rate the stream
