-1:02:05 | Voltage: LETSSS GOOO
-35:25 | hohoemikuma: 2k so close!!
-12:20 | BasedBug: /YAH/
-8:14 | Voltage: Remember to like the stream and subscribe if you haven’t!
-8:03 | Hanabi: wait a second, that's not a chicken, that's a bear
-7:11 | 92Pesonen: Soon! 🐻‍❄
-6:50 | Monkberry Moon: Yah
-6:43 | Voltage: 🐻‍❄️❄️🍀🐻‍❄️❄️🍀🐻‍❄️❄️🍀🐻‍❄️🍀🍀
-6:21 | Theblekedet: im here
-5:19 | Randel Shurker: I have arrived.
-5:05 | Margrave: 🐻‍❄🍀
-4:30 | BasedBug: Let's hope she can get 2k subs tonight, that would be really great
-3:16 | Transcendental_ColonThree: 🐻‍❄💪🍀
-3:14 | Tachi: 🐻‍❄🍀
-2:36 | stuffed idiot: 🐻‍❄🍀
-2:23 | XeniVari: 🐻‍❄🍀
-2:12 | stuffed idiot: I haven't seen this game in years
-1:44 | CommanderMichael: 🍀
-1:23 | Ekusupuroshon: I can't watch the stream because of my classes but I'll have it open on my phone 🐻✌️
-1:01 | ThatVidyaGuy: I hope she reaches 2k subs this stream. 🦾🐻‍❄
-0:56 | HashSlash: 🐻‍❄🍀
-0:52 | Jackku Chan: Waiting waiting~
-0:46 | Shippo: 🐻‍❄🍀🤍💚
-0:20 | RueTobas: our duaghter
-0:04 | Megiddo: is this stop motion? thumbnail looks like something from Robot Chicken or other stopmotion stuff
0:12 | Victor Cavina: yay
0:12 | HashSlash: Ohadayo!!
0:17 | pakkanen: yay
0:19 | SpaceTalon: aww yeah
0:24 | Megiddo: wooo it's a normal progress bar
0:24 | Voltage: bear is loading 
0:28 | Vitz: おはだよ
0:30 | Voltage: get readddyyyy
0:31 | BasedBug: YA
0:31 | CommanderMichael: nice, the gif the anon made + some great bgm
0:32 | Theblekedet: let's gooooo
0:33 | hohoemikuma: yayay
0:37 | Xayn: OH MY GOD THE MUSIC
0:40 | Ekusupuroshon: Nice!!
0:42 | Tachi: Yah
0:43 | ThatVidyaGuy: nice nice!
0:53 | hohoemikuma: windows ya
0:53 | Hanabi: love this music
0:56 | imalittle cupcake: Based bokukko bear time
1:08 | Jackku Chan: It sounds great now without the interruptions/lag.
1:25 | Darthclone2: yo this kinda slaps
1:26 | Megiddo: agree
1:26 | HashSlash: Its really nice to see the loading bar moving much more smoothly this time, good sign for the rest of the stream
1:49 | RueTobas: well she fixed her encoding last time 
1:49 | imalittle cupcake: Let's not jinx ourselves lol
1:59 | Monster hmc: nice
1:59 | RueTobas: probably uses the same settings now
2:03 | Monster hmc: new op
2:29 | ユーネ / Yuune: vibing
2:41 | thelastshinobi56: keyboard asmr
3:00 | coba cobra: thought keyboard was part of the bgm
3:06 | Alexander Holzer: This BGM is great
3:13 | Voltage: bear clicks
3:18 | BasedBug: Ohadayo!
3:20 | hohoemikuma: ohadayo
3:21 | XeniVari: おはだよ！
3:21 | Kyle: OHAdayo~!
3:21 | coba cobra: ohadayo!
3:22 | imalittle cupcake: Ohadayo, daughter!
3:22 | Megiddo: Ohadayo~
3:23 | Tachi: Ohadayo!
3:24 | Meneltir: おはだよ
3:24 | D3bugged: Ohadayo
3:25 | Margrave: Ohadayo!!! 
3:25 | CommanderMichael: ohadayo~~~
3:25 | gyroninja: ohadayo
3:26 | pakkanen: Good morning Beatani
3:26 | HashSlash: Ohadayo!!
3:27 | Eika: ohadayo
3:27 | Fettuccine フェットチーネ: ohadayo~
3:27 | ユーネ / Yuune: ohadayo!
3:28 | Transcendental_ColonThree: Ohadayooo
3:28 | SpaceTalon: hello!
3:28 | Randel Shurker: Good afternoon.
3:29 | Pechorin: ohadayo
3:29 | Monster hmc: Ohadayo!!
3:29 | Jackku Chan: Genki genkii ohadayoo
3:30 | thelastshinobi56: Ohadayo!!
3:30 | ThatVidyaGuy: Ohadayo!
3:31 | Moeniki: ohadayo!
3:31 | Theblekedet: ohadayooooo
3:32 | Darthclone2: Ohadayo@
3:32 | Hanabi: ohadayo
3:34 | TWAIN: ohadayo 🐻‍❄ 🍀
3:34 | RueTobas: ohadayo
3:34 | hohoemikuma: genki!
3:34 | Ekusupuroshon: Ohadayo
3:34 | Voltage: HI BEARR GOODMORNINGGGG
3:44 | Shippo: ohadayo! excited for the new game, didn't hear about it before
3:48 | A A: Love bear.
3:48 | Xayn: chkn...
3:48 | coba cobra: kinda lag?
3:52 | Theblekedet: it's 5am but it's ok
3:54 | Alexander Holzer: Ohadayo musume
3:56 | seroroinc: make a chicken
4:00 | Transcendental_ColonThree: Is this like SPORE?
4:01 | Voltage: ohadayooooo
4:02 | BasedBug: I've never seen it before
4:04 | coba cobra: first time hear this game
4:04 | Tachi: I didn't know this game 
4:05 | imalittle cupcake: I've never seen this
4:05 | Jackku Chan: What a strange game, no idea
4:06 | RueTobas: never seen this game in my life
4:07 | ユーネ / Yuune: no I don't but it looks cool
4:08 | Megiddo: I do not know this game
