-13:39 | Bob: 🍀
-13:26 | imalittle cupcake: 🍀🐻‍❄
-9:36 | BasedBug: Shoutout to the EU dads making the ultimate sleep sacrifice for their daughter
-8:48 | Alfa Ayed: waku waku
-8:19 | フェットチーネ: 🐻‍❄️🍀
-8:03 | Hanabi: pray for EU dads
-7:38 | hohoemikuma: hey dads!
-7:30 | JayTheGreatest: EU more like EUUUUUU
-7:28 | Why485: 🍀
-6:30 | Tachi: It's almost time dads
-6:30 | Jackku Chan: Still here, lets go!
-5:59 | Megiddo: 🐻‍❄🍀
-4:49 | Flux: I MADE IT
-4:02 | Tachi: 🐻‍❄🍀
-3:58 | Mister Eko: Eurodads... we made it...
-3:47 | Rob G.: 🐻‍❄🍀 wohooo 3am gang let's go
-3:43 | idreamofcorn: EU more like EW haha lol
-3:33 | Stray Wolf: 8 pm here 
-3:29 | Rob G.: i'm popping open my wine bottle
-3:22 | JayTheGreatest: EUOOOOOOH
-3:15 | Mew: oh boy
-3:07 | Mew: EU OOOOHHHHHHHHHHH
-3:06 | Shippo: 3am gang where you at
-2:58 | Steven Frati: Triple digits for our bear daughter, good turn out dads.
-2:52 | Mew: Here
-2:41 | Mew: Thank god it's a friday
-2:40 | Jackku Chan: Stu, it's 4 o' clock in the morning.
-2:35 | Destoroyar Fortress: Let's go dads
-2:24 | Mew: Findland gang?
-2:23 | Jackku Chan: Why on earth are you watching virtual girls sing?
-2:18 | gyroninja: 待機
-2:13 | pakkanen: 04am, had to wake up for this event
-2:06 | Mew: gondola land is 4am?
-1:51 | Jackku Chan: Ya
-1:49 | pakkanen: yah
-1:34 | Wayne Kerr: it is 10:30am in middle australia
-1:33 | BasedBug: /YAH/
-1:19 | CommanderMichael: 9 am gang
-1:02 | Mew: Man when I look at the time zone map Croatia is like at the end of GTM+1 and you guys are at the start of GTM+2 thats fuck up 
-0:59 | CommanderMichael: 🍀
-0:59 | Rye Mountain: this is gonna be a good 3am stream, i can feel it
-0:57 | Raziel: hype
-0:54 | Rob G.: yah~!
-0:52 | hohoemikuma: here we go!
-0:50 | RueTobas: 4am gang
