-46:29 | Aggressive Quack: 2am gang rise up
-43:56 | gyroninja: 待機
-29:48 | フェットチーネ: 待機
-13:43 | Gamer: Cute and funny gang
-12:05 | Ikxi: wow I woke up just in time!
-11:43 | Ikxi: Thought I wouldn't be able to watch xD
-10:47 | Ikxi: damn is our cute and funny kuma nearly at 1.5k?
-10:21 | zozozofun: Cute and funny gang
-9:12 | Aggressive Quack: Based department is here
-5:57 | ellescer: kuma kuma kuma
-5:41 | OverMagnet: I know it shouldn't need to be said but... This is a Japanese stream, please don't be THAT idiot who asks her to speak English.
-5:38 | Powerful Cod: gao gao gao
-4:47 | OverMagnet: Bea Bea
-4:31 | zozozofun: :hydrate::hydrate:
-3:48 | Powerful Cod: You'll see nothing but 森 and ベース from me, Chief
-3:44 | Aggressive Quack: 🐻‍❄🐻‍❄🐻‍❄
-3:04 | OverMagnet: Based
-2:10 | Aggressive Quack: Based
-1:50 | Moo: cute and funny
-1:35 | Rob G.: taiki~
-0:39 | Gunn: Bearsed
-0:09 | james heller: Lets go
0:00 | Ikxi: waiting~ :3
0:07 | gyroninja: 待機
0:17 | フェットチーネ: Ohadayo~
0:22 | クラガリ葉月: おはだよ！
0:24 | A A: Hi Cola Bear.
0:24 | VampirkoO: おはだよ！
0:25 | OverMagnet: おはだよ！
0:25 | Rob G.: ohadao~~
0:29 | Superslow human: Ohadayo
0:29 | Ikxi: ohadayo!!!
0:29 | Jessica: Ohadayo~
0:30 | Aggressive Quack: Ohadayo!
0:34 | zozozofun: 👋
0:36 | gyroninja: おはだよ
0:38 | Chloro [クロロ]: おはだよ!
0:43 | Atomized Atomizer: おはだよ！
0:44 | Tunguska: Ohayo!
0:45 | OverMagnet: きた！
0:46 | Cameron Clarke: ECHOOO
0:52 | FATNEET: ohadayo
0:54 | フェットチーネ: 大丈夫
0:55 | knowsur: 何このリバーブ
0:56 | Powerful Cod: ohadayo!
0:58 | クラガリ葉月: 反響ありね
1:06 | Aggressive Quack: Based echo
1:06 | OverMagnet: 大丈夫
1:08 | Nasty Yukari: no problem dayo!
1:12 | Cameron Clarke: better now!
1:21 | Raziel: Slay the Spireは麻薬です。
1:29 | Aggressive Quack: your good now
1:47 | OverMagnet: Started off in the Kuma Cave
1:53 | Moo: this game's hrd
3:02 | Moo: i like relic swap on defect
3:10 | Moeniki: Have you slayed the spire yet?
3:23 | フェットチーネ: She said the people who came to watch her before came because they were interested in the game itself
3:31 | ZUN TSUN: Hello Beaton!
3:57 | Aggressive Quack: Ive not seen this game before, looks pretty cool
4:20 | Chloro [クロロ]: ゲームの音量ちょっと小さい
4:36 | Almundan: konichiwa
4:41 | Rob G.: ゲームが聞こえない 😞 
4:43 | Suukotto Funsha: Ohadayo Beatani
4:49 | knowsur: 全く聴こえてなくない？
4:50 | OverMagnet: ボスを倒す！
4:51 | Cameron Clarke: ive been trying to beat ascension 14 on the silent for ages 😔
4:53 | A A: Pro gamer addiction.
5:19 | fooyouya: きたわね
5:32 | Moo: shiv your way to A20
5:36 | Sunspots: おはだよ～
5:41 | knowsur: 音きた
5:59 | A A: Cute laugh.
5:59 | fooyouya: 海外人気熊
6:02 | knowsur: big 草
6:12 | Chloro [クロロ]: www
6:19 | Peer: oh, hi, Beatani!
6:22 | Gamer: Is it okay to say the c word?
6:32 | OverMagnet: it's ok now
6:43 | Aggressive Quack: cute
6:51 | A A: @Gamer Better not to.
6:52 | Ivan Angelo: Cute and Funny!
6:52 | フェットチーネ: She's telling the dude that her channel grew so quickly
6:58 | james heller: あなたならできる!
7:15 | Rob G.: 森 lol
7:25 | Aggressive Quack: Bear stocks grew
7:28 | Ikxi: thanks for the translations @fettuccine
7:52 | OverMagnet: EZ Win!
8:06 | fooyouya: 早速認知偏向とってるのつよ
8:35 | MBmasher: 大好き
9:04 | Tanaka - KFP Workers Union: lol
9:46 | Ikxi: Have you played Monster Train? Like this game it has also cards and is a roguelike, but more like a tower defense game
9:47 | Suukotto Funsha: Claw for Bear power
9:49 | Moo: claw is law
9:59 | Tanaka - KFP Workers Union: it's good
10:07 | Tanaka - KFP Workers Union: i would take claw too
10:19 | fooyouya: ハッピーフラワーあるからあり。早めにUGしたいね。
10:40 | Rob G.: that card looked grizzly
11:02 | だる: 初見　プレミしたらチャンネル登録解除します
11:17 | Tanaka - KFP Workers Union: @Ikxi Monster Train is great, would be fun to watch her play
11:48 | fooyouya: レリック群はかなり強いですね～
12:02 | Zip Zorp: cool more defect
12:06 | nos tromo: ganbare
12:17 | zozozofun: ouch
12:23 | だる: 怒ったからでてきた
12:44 | fooyouya: エリートは2連続で同じのが出ないだけですね
12:47 | james heller: 熊が強すぎる
13:51 | Superslow human: Strong relic! nice
13:53 | prim2: nice early ice cream
13:53 | fooyouya: つっよい
13:57 | クラガリ葉月: 上手い
13:58 | Aggressive Quack: HYPE
14:05 | Ikxi: was that good or bad? lol
14:05 | Sunspots: いいね
14:11 | Tanaka - KFP Workers Union: oh that's a great relic
14:11 | Chloro [クロロ]: いいね!
14:13 | だる: nice cream
14:16 | VampirkoO: ナイス
14:24 | Raziel: アイスクリームはおいしい。
14:26 | Ikxi: nice
14:35 | (Verified) Nightbot: zzzzzz
15:26 | Ysoseerius: Nice!
15:31 | Moo: curse deck
15:35 | Ikxi: you are winner
17:45 | だる: 8 times 2 equal 16
18:06 | fooyouya: あとはオーブスロット増やすやつがあればいけそう
18:11 | だる: 今からでもレリックじゃなくてプレイが強いことにせんか？
18:21 | L0rdJ0n3Z: ohadayo
18:43 | Aggressive Quack: man this is tense
19:03 | OutRanged TV: Nice
19:05 | Ikxi: strong kuma!!
19:06 | クラガリ葉月: やー
19:14 | fooyouya: Nice
19:15 | Aggressive Quack: Buff Kuma!
19:16 | Chloro [クロロ]: 危なかった
19:17 | Superslow human: nice!
19:21 | Shippo: いいねー
19:33 | だる: AFOだしAFO取る？
19:34 | james heller: win!
19:35 | Raziel: このクマは止められない。
