-1:32:02 | Voltage: time to eat lunch and then watch beatani
-56:54 | Alfa Ayed: time to watch Beatani archive, while waiting Beatani stream
-54:36 | Theblekedet: time to eat dinner before watching beatani
-27:44 | max r: I have to lead a 4hr training session for work in one hour. So, I did what any responsible dad would do. I changed the starting time to 1 hour later. Now I can watch for 1h30
-27:08 | max r: Surely my coworkers would approve if i told them I changed the time so I can spend some important time with my daughter?
-25:43 | Tachi: Of course 🐻‍❄
-17:15 | max r: I really like the Omori streams because I feel like it's good cultural exposure and English practice, and it's a slow enough game so Beatani can have time to chat leisurely 
-7:26 | フェットチーネ: 🐻‍❄🍀
-4:55 | XeniVari: 待機🐻‍❄🍀
-4:06 | BasedBug: /YAH/
-3:53 | Megiddo: 🐻‍❄🍀
-3:01 | max r: welcome to /yah/space
-2:36 | Dick Smith: comfy bear zone
-1:34 | Shippo: 🐻‍❄🍀 beatani's based emotes soon
-1:32 | Mizuki Arisu: 'ate ntr
-1:30 | Tachi: YAH
-1:11 | Mizuki Arisu: 'luv kuma
-0:59 | max r: I'm getting 100 membearships
-0:58 | Suukotto Funsha: /yah/
-0:50 | Dick Smith: simple as
-0:38 | max r: Do you stop yourself when you are about to type emoji because your daughter told you it was useless?
-0:32 | BasedBug: She only expects like 10-15 people to sign up, it's gonna be great to see how many people actually do
0:02 | max r: I think she is only expecting the regular donators to member, but I would expect many more. Also i think probably like half of dads don't donate under their YT name
0:08 | Zhnigo: UOOOH
0:13 | BasedBug: Holy crap I turned off my add blocker and I actually got ads on this video, good for her!@
0:42 | TWAIN: 🐻‍❄🍀
0:42 | Megiddo: YT sick?
0:49 | A A: Lag screen.
1:11 | Tachi: Youtube onegai
1:41 | BasedBug: Maaaan
1:50 | TWAIN: works fine now
1:52 | Hanabi: seems better now?
1:53 | Dick Smith: :buffering:
1:57 | Idle Bear: Ohadayo!
1:58 | HashSlash: Wait its smooth now?
1:59 | BasedBug: OHADAYO!
2:00 | フェットチーネ: Ohadayo!
2:00 | Rye Mountain: OHAdayo
2:02 | Suukotto Funsha: Ohadayo
2:03 | Tachi: Ohadayo!
2:07 | HashSlash: Ohadayo!!
2:08 | Sunspots: おはだよ～
2:08 | max r: ohadayo! don't forget to unmute!
2:09 | Dick Smith: Ohadayo
2:10 | Chloro [クロロ]: Ohadayo!
2:11 | XeniVari: Ohadayo!
2:12 | Mizuki Arisu: Ohadayo!
2:13 | Megiddo: Ohadayo~
2:15 | TWAIN: おはだよ
2:16 | Alfa Ayed: konbearwa
2:18 | Simón: ohadato
2:18 | ニシキ: Ohadayo!
2:20 | Juvisy: Ohadayo!
2:22 | Hanabi: ohadayo
2:34 | Rye Mountain: cant hear bgm
2:38 | フェットチーネ: No
2:39 | BasedBug: No BGM right now
2:41 | Tachi: Can't hear bgm
2:43 | A A: No
2:43 | RueTobas: ohadayo
2:43 | XeniVari: Nope.
2:44 | Chloro [クロロ]: No
2:45 | Idle Bear: Nope
2:46 | Tachi: Can't hear game
2:46 | Megiddo: no game sound
2:47 | TWAIN: no BGM
3:02 | The Sword Art Online Dickriding Association: Ohadayo
3:06 | CommanderMichael: Ohadayo~~~
3:15 | Zhnigo: now entering BASED zone
3:23 | BasedBug: We're good!
3:26 | Rye Mountain: 15:00 here
3:27 | Alfa Ayed: I can't see my future...
3:48 | フェットチーネ: Same
3:51 | CPTpurrfect: Hello chat, hello BeatanI!
3:52 | Zhnigo: based owl bear
3:56 | CPTpurrfect: thanks for an earlier stream
3:58 | BasedBug: Beatani is a night owl?
4:10 | imalittle cupcake: Ohadayo!
4:20 | A A: You pronounced energetic correctly..
4:24 | CPTpurrfect: your usual streatimes aren't viable for me to watch - they are for me usually between 23 - 03
4:27 | RueTobas: This is perfect for Euro dads
4:33 | max r: On Monday-Friday, JST night streams are nice for me to have on background during work. But sometimes I have to mute if i have a meeting or something.
4:46 | Suukotto Funsha: Pero Pero Mari
4:52 | BasedBug: You were looking for jokes or something?
4:53 | Hanabi: I like these stream times since it's early morning here and I'm usually at work during afternoons/night streams
4:54 | Dick Smith: comfy 9pm bear
5:17 | russian bias: COMFY 9PM BEAR TIME
5:21 | CPTpurrfect: your english is getting better and better! <3
5:44 | フェットチーネ: gross
5:50 | Megiddo: spiders pretty spooky
6:01 | Rye Mountain: Spiders are bros
6:04 | A A: Yes spooky fog.
6:07 | Zhnigo: spooky = scary but playful, like a scary fairytale
6:07 | TWAIN: spooky = kowai
6:07 | あなり: Kimoi is gross
6:09 | Megiddo: kimoi is more disgusting, no?
6:11 | Alfa Ayed: kuma vs kumo
6:20 | ニシキ: Spooky=怖い
6:20 | Voltage: Hi bear
6:38 | CommanderMichael: 'creepy' can also be a good word fot that, beatani
6:49 | あなり: gross or disgusting
7:13 | Hanabi: spooky, scary, gross, creepy. they're all accurate for spiders
7:15 | BasedBug: Spiders, punch 'em!
7:17 | RBZE7: Ohadayo !
7:52 | あなり: ちょっとまじやべて！
7:53 | Alfa Ayed: kumo HATE, kuma LOVE
8:00 | airbirdy92: good morning!!
8:15 | Suukotto Funsha: That's a lot of spiders
8:20 | RBZE7: do you hate spiders ?
8:24 | Voltage: spiders eating beatani
8:28 | あなり: bugs are delicious
8:30 | RBZE7: wtf do you even hate the based bug ?
8:40 | Dick Smith: 'ate spiders
8:47 | BasedBug: Spiders kill other bugs, they're nice!
8:51 | Rye Mountain: But spiders eat all the bad bugs, spiders are good!
8:52 | Voltage: based bug ....
8:57 | Tachi: BasedBug...
9:00 | Dick Smith: basedbug btfo
9:01 | あなり: むしおいしいです。
9:07 | Zhnigo: 'ate dogs, 'ate spiders, love me kuma, simple as
9:07 | RueTobas: spider = good boi
9:12 | Hanabi: @Rye Mountain spider hands typed this comment
9:18 | RBZE7: spiders eat the mosquitoes, you shoud learn to love them
9:20 | max r: based bug is a good bug
9:26 | sleepy: Spiders are actually harmless and beneficial to human beings! The next time you see a spider, don't squash it!
9:42 | RBZE7: #notallbugs
9:50 | max r: Wow based bug getting shit on
9:52 | Suukotto Funsha: Is that a bear to the left?
9:56 | フェットチーネ: Not really?
10:02 | Voltage: unless you live in areas with poisonous spiders
10:04 | Hanabi: bug HATE
10:06 | Dick Smith: how could a spider be typing, that's just silly anon. now leave your doors open so you can let your new friends in.
10:07 | Rye Mountain: I kill all bugs in my house except spiders
10:07 | Tachi: No!
10:15 | RBZE7: I don't think anyone likes cockroaches
10:17 | Andrew: i have to go back to sleep. will watxh vod! have fun
10:19 | sleepy: Dokkiri toys
10:21 | CPTpurrfect: idk i don't really have huge feelings towards them
10:21 | Voltage: only bug i like is a based one
10:23 | Fake Name: Cockroaches should go extinct
10:27 | A A: Snakes are cool.
10:32 | max r: Snake is a reptile not an insect , it's a vine fruit like the tomato
10:33 | Megiddo: none? wow
10:50 | あなり: Japan has safe bugs except hornets.
10:51 | CommanderMichael: snek
10:54 | CPTpurrfect: i mean they are poisonous, but not dangerous to humans I ugess
10:57 | sleepy: There are no poisonous spiders! Only paranoid people!
11:06 | Voltage: only cool, not safe usually
11:10 | RBZE7: There are no deadly bugs or snakes in western europe, so I don't mind them
11:19 | CPTpurrfect: yes reptile!
11:21 | Voltage: snek is a lizard
11:22 | CPTpurrfect: good job
11:26 | Monkberry Moon: Almost missed this
11:26 | Antonio Badilla: ohadayo, we have ads now?
11:42 | あなり: Snake skin purse?
11:42 | Hanabi: snakes are cool but I never want to see one in real life
11:45 | max r: I thought Okinawa has snakes?
11:55 | Rye Mountain: A snake laid eggs under my house, I left them there because they have not done anything bad to me.
11:55 | sleepy: Have you seen a Tsuchinoko? 
11:56 | Zhnigo: pet snakes like to coil around warm things, like the laptop or your arm
12:02 | Tachi: You see snakes? Kowai
12:03 | max r: Okinawa has venemous* snakes i mean
12:05 | Suukotto Funsha: We have lots of snakes and spiders especially poisonous ones here in Australia
12:12 | Margrave: non poisonous snakes are usually calm right?
12:17 | Megiddo: 1 meter big snake, lol
12:41 | Fake Name: Humans have hated snakes since the days of Africa 
12:57 | Voltage: she is trapped in the internet so now she only needs to worry about bugs on xp hill now
12:57 | あなり: へびかばん
13:09 | Megiddo: very true
13:36 | あなり: not scary?
13:50 | Suukotto Funsha: Afraid makes you unable to use skills
14:27 | Theblekedet: Ohadayo beatani and dads and moms and bros and sis
14:33 | Fake Name: "snake bag"? Sounds scary
14:34 | フェットチーネ: Same
14:44 | max r: Bug = Insect
14:50 | Rye Mountain: Bugs are small living things, can be insect or worm or other small thing
14:51 | thelastshinobi56: Same but different
14:52 | max r: KUMA
14:54 | Suukotto Funsha: same thing
14:55 | Hanabi: I'm no scientist but I think insect is just the formal term for bugs
14:57 | max r: Look at that big kuma
14:57 | CPTpurrfect: a bug is a subspecies
15:00 | Fake Name: "bugs" can include spiders, worms, etc
15:01 | Megiddo: Luckily it's XP hill and now the Windows ME desktop, or the bugs would have overrrun the place
15:09 | BasedBug: Basically the same thing, there's a scientific difference but nobody really cares
15:10 | Monkberry Moon: Insect is more formal or specific
15:13 | CPTpurrfect: every bug is an insect, but not every insict is a bug
15:25 | CommanderMichael: bugs is a more broader term
15:41 | Suukotto Funsha: It's an angry kuma. It must not have enough food
15:56 | RADEON 360: Flex on the bear
16:03 | Rye Mountain: All insects have 6 legs, but bugs can have other amount of legs, like spiders or centipedes.
16:05 | RADEON 360: You're the better bear
16:05 | Mastigos Wilkins: good day Bea
16:07 | あなり: the kuma needs to eat mushi
16:09 | BasedBug: I just realized Beatani has superchats now, but Youtube takes a big cut of those
16:27 | Tachi: Angry strong dad
16:29 | Fake Name: This bear must have useless dads
16:33 | TWAIN: rare bear?
16:40 | thelastshinobi56: Beatani is stronger kuma!
16:50 | RBZE7: Is membership available ? I missed a few streams
16:57 | あなり: snack mushi
17:02 | max r: The bear is overpowered
17:12 | BasedBug: Chihiro what's wrong!?
17:37 | Dick Smith: R A R E B E A R
17:53 | CommanderMichael: it's ok, dads can wait :)
18:02 | max r: ahhh need to run
18:06 | 寓意: dangerous
18:24 | Ikxi: halo!
18:30 | Sunspots: very dangerous raretani
18:43 | Theblekedet: hello jp friend
18:48 | Fake Name: Oh no they're all Toast
18:51 | *$2.00* max r: first
18:52 | thelastshinobi56: nooooo
18:55 | CommanderMichael: F
18:58 | RADEON 360: lol
19:00 | (Verified, Moderator) Streamlabs: max r just superchatted $2.00!
19:03 | Antonio Badilla: f
19:08 | Monkberry Moon: F
19:12 | SpaceTalon: hello 😀
19:27 | Theblekedet: you took hee first time lmao
19:36 | Fake Name: Nice
19:43 | russian bias: F
19:46 | *$2.00* BasedBug: second
19:47 | Mew: :yougotthis::yougotthis::yougotthis:
19:51 | (Verified, Moderator) Streamlabs: Hanabi just tipped $1.00 dayo!
19:52 | Zhnigo: bea took his first time...
19:56 | max r: Yeah, don't worry, I send the real money thru Streamlabs---- You should pin the streamlabs to the chat description
20:05 | hustler one: when did bea get supacha
20:21 | Shippo: nice
20:29 | Shippo: who's gonna get the first akasupa though
20:29 | RADEON 360: are we going to count in superchats?
20:29 | (Verified, Moderator) Streamlabs: BasedBug just superchatted $2.00!
20:42 | yes: based
