-43:08 | Tachi: 🐻‍❄🍀
-34:04 | Voltage: cant wait till bea gets instream clips feature
-33:51 | Voltage: 🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🔙🍀
-33:42 | Voltage: cloverbeardayo
-26:30 | XeniVari: 待機🐻‍❄🍀
-22:36 | Ludd: おはだよ～
-22:08 | hohoemikuma: hey dads, moms, brothers, and sisters
-9:55 | Fettuccine フェットチーネ: 🐻‍❄🍀
-7:58 | Voltage: 🐻‍❄️🍀❄️🐻‍❄️🍀❄️🐻‍❄️🍀❄️
-7:55 | Peer: 🐻‍❄🍀
-7:19 | BasedBug: WHATS UP DADS I KILLED MY SISTER IN CHKN LETS GOOOOOOOOOO
-6:27 | Megiddo: Woo, almost Beatani time
-6:02 | Voltage: blessed bug
-5:16 | Tachi: 🐻‍❄🍀🐻‍❄🍀🐻‍❄🍀
-4:28 | Steven Frati: 🍀🍀🍀🍀
-3:41 | Rye Mountain: Finally able to catch streams again
-3:29 | Steven Frati: Just another trip to XP hill.
-3:10 | Yamoyashi: time to witness homicide again
-2:37 | BasedBug: Can't wait for two hours of verbal abuse
-2:20 | Voltage: one minute 🐻‍❄️🍀❄️
-2:07 | Megiddo: UOHHHHHH~
-2:01 | Peer: 🐻‍❄🍀🐻‍❄🍀🐻‍❄🍀
-1:37 | Voltage: she tweets NOW and then starts music
-1:20 | Voltage: 🍀❄️🍀❄️🍀❄️🍀❄️
-1:19 | Shippo: 🐻‍❄🍀
-1:14 | gyroninja: 待機
-1:06 | Rye Mountain: 🐻‍❄🍀
-0:58 | Zia: Letsu go.
-0:40 | Hanabi: 🍀🐻‍❄❤
-0:38 | TWAIN: 🐻‍❄🍀
-0:30 | Peer: lessss go
-0:13 | Rye Mountain: waiting bear
-0:04 | ThatVidyaGuy: 🦾🐻‍❄🍀
-0:01 | Raziel: Time to shine dads
0:18 | TWAIN: bear loading
0:21 | Jackku Chan: Live!
0:25 | BasedBug: LETS GOOOOOOO
0:31 | RBZE7: Hi dads !
0:33 | Mew: Time to suffer dads
0:36 | Rye Mountain: Still love this intro
0:47 | Zhnigo: ohadayo 🐻‍❄🍀
1:13 | Ludd: ikzz 🐻‍❄🍀
1:18 | Happli: kino intro
1:20 | BasedBug: OHADAYOOOO
1:21 | Idle Bear: 🍀🐻‍❄🍀
1:21 | imalittle cupcake: Ohadayoooo!
1:22 | PT's Sleepy Corner: OHADAYOO!
1:23 | Kyle: OHAdayo~!
1:23 | RBZE7: ohadayoooo
1:23 | Peer: ohadayo!
1:24 | XeniVari: おはだよ！
1:24 | TWAIN: ohadayo
1:26 | Jackku Chan: Ohadayoo
1:27 | gyroninja: おはだよ
1:27 | ThatVidyaGuy: Ohadayo!
1:28 | Chloro [クロロ]: Ohadayo!!
1:29 | Happli: ohadayo !
1:29 | Zia: It's her
1:29 | Tachi: Ohadayoooo
1:29 | MonquSurtonpif: Ohadayo!
1:32 | Fettuccine フェットチーネ: Ohadayo~~!
1:33 | Voltage: OHADAYOOO BEARRRRR
1:33 | パナナナダ: ohadayo!
1:37 | Idle Bear: ohadayo!
1:37 | sagbobit: ohadayo
1:38 | Badilla: おはだよ
1:39 | Jackku Chan: Genki dayoo
1:40 | _NFK: Ohadayo!
1:40 | D3bugged: Ohadayo
1:40 | Ludd: おはだよおお！！！
1:40 | Raziel: Ohadayo
