-1:30:17 | Voltage: 🍀🐻‍❄️ 🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀
-1:03:35 | Tachi: 🐻‍❄🍀
-25:22 | Voltage: hello flower child 
-23:49 | O5060403: I can finally catch a stream, wew
-22:38 | Voltage: i’d usually watch it from 1 am to 3am now it’s just righhhtt
-22:34 | Theblekedet: a great way to end the day
-20:56 | O5060403: 4pm for me which makes it super comfy
-18:17 | Aggressive Quack: 9am gang where you at
-16:07 | RBZE7: hi dads
-9:52 | Voltage: 🍀🐻‍❄️❄️🍀❄️❄️🍀🐻‍❄️❄️
-6:52 | Fettuccine フェットチーネ: 🐻‍❄🍀
-6:17 | Voltage: eurodads better be here
-5:34 | Zhnigo: 5 pm gang
-4:00 | Kaiser Kebab: Taiki
-3:13 | Shippo: can't wait to spend money on my daughter's dakimakura
-2:28 | OutRanged TV: Based
-2:24 | Margrave: I made it on time.
-2:16 | BasedBug: As a dad should
-2:06 | hohoemikuma: wake me up
-1:55 | 92Pesonen: I just got out of work for just in time 🥸
-1:41 | Voltage: waiting for bearrrr
-1:27 | TWAIN: 🐻‍❄🍀
-1:21 | SpaceTalon: dare I say it based
-1:09 | Aggressive Quack: based and bearpilled
-1:01 | coba cobra: good evening bear
-0:58 | Voltage: 49 stronk dads
-0:51 | Hanabi: beary based
-0:45 | Sheep: :)
-0:37 | Shippo: 🐻‍❄🍀
-0:37 | BasedBug: Not many more subscribers left until 2k
-0:33 | Tachi: Beased
-0:31 | coba cobra: bearly made it
-0:28 | XeniVari: 🐻‍❄🍀
-0:24 | Megiddo: lucky my meeting got pushed back an hour so at least I can watch the bear until then
-0:19 | Shippo: 20 subs til karaoke
-0:19 | O5060403: 🐻‍❄🍀
-0:13 | Aggressive Quack: we are some dedicated dads kek
-0:12 | Nasty Yukari: Bear! Bear! Bear! Bear! 
0:03 | Nasty Yukari: JFC nobody else is capable of making me wake up this early
0:13 | Voltage: bear chant will make the bear appear faster
0:13 | O5060403: LIV HYPE
0:15 | A A: Merchandising meeting is a job.
0:17 | coba cobra: epic intro
0:21 | BasedBug: Lets goooooooo
0:28 | Zhnigo: this slaps
0:36 | Nasty Yukari: The time has arrived let's 5ooooo
0:38 | Voltage: loadin bear.......🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️❄️
0:42 | OutRanged TV: This intro is king
0:44 | Margrave: nice beats
0:49 | Nero: Oh, this is a nice beat
0:53 | MagariteIs NotButter: nice intro, she made this herself?
0:53 | O5060403: BearOS is loading
0:54 | Aggressive Quack: yooo this intro is based
1:02 | hohoemikuma: yah time
1:06 | coba cobra: yah!
1:07 | O5060403: Nah, one of her dads made the intro
1:07 | BasedBug: /YAH/
1:09 | Sheep: surprised she found something so fitting for this so fast
1:10 | Monster hmc: Best intro
1:10 | Jackku Chan: Niice just in time
1:13 | Kaiser Kebab: Bear is loading
1:15 | Orange Princess: some dad created it
1:15 | Rye Mountain: A fan made the gif, she made the music
1:16 | Hanabi: she made the song
1:28 | Voltage: best hours are h
1:35 | Voltage: based bear hours
1:43 | O5060403: Yeah I guess that's the best way to put it
1:46 | Megiddo: uh-oh, progress bar jumpy
1:48 | TomHate: yah!
1:51 | Jackku Chan: Yeah best EU hours
1:57 | O5060403: I miss when remixes like this were more popular
2:03 | Nasty Yukari: Please wait patiently with some nukumori-tea
2:04 | coba cobra: lol viewers got cut in half
2:08 | Tachi: It's time dads
2:10 | BasedBug: OHAdayo!
