-46:48 | Tachi: 🐻‍❄🍀
-46:02 | Destoroyar Fortress: 🐻‍❄
-24:17 | Idle Bear: For some reason I thought this stream was tomorrow.
-5:21 | BasedBug: /や/
-4:02 | Margrave: 🐻‍❄🍀
-3:08 | HashSlash: 🐻‍❄🍀
-2:25 | 92Pesonen: Almost there! 🐻‍❄
-1:38 | Tachi: や
-1:19 | Alfa Ayed: ohadayo
-0:21 | Chorizus: ohadayo
-0:12 | Vitz: /や/
-0:07 | Salty Sola: 🐻‍❄
-0:03 | Steven Frati: 🍀 Let's hope bear has a good time and fun stream.
0:19 | Megiddo: 🐻‍❄🍀
0:23 | Margrave: yah!
0:23 | Zhnigo: UOOOOOHH
0:24 | estratos13: Ohadayo
0:30 | TheCanti: Yah!
0:30 | BasedBug: I can't wait to hear Beatani's ending song when it's complete
0:34 | estratos13: 🐻‍❄🍀
0:39 | Canna: Ohadayo!
0:44 | Zeng: ohadayo
0:54 | Idle Bear: 🐻‍❄🍀Yah!
1:09 | Zhnigo: 🐻‍❄🍀
1:17 | Mew: Yah
1:28 | Project Seele: 👀
1:30 | TWAIN: 🐻‍❄🍀
1:37 | Voltage: aye hiii
2:09 | TheCanti: 💃
3:02 | Kazoo: 🐻‍❄️
3:25 | stuffed idiot: 🐻‍❄🍀
3:31 | Derekであります !: Wow, nice loading screen
3:37 | TheCanti: Man what a groovy opening
3:37 | Verijero: ohadayo
3:38 | BasedBug: Ohdadayo!
3:39 | TWAIN: ohadayo
3:39 | imalittle cupcake: 🐻‍❄🍀Ohadayo!
3:39 | Megiddo: Ohadayo~
3:40 | Fekin Peysy: hello! 🐻‍❄
3:40 | TheCanti: YAH!
3:40 | HashSlash: Ohadayo!!
3:40 | 92Pesonen: Ohadayo!
3:40 | Zhnigo: ohadayo
3:42 | Absolute Link: good morning beatani
3:45 | Kyle: OHAdayo~!
3:46 | Suukotto Funsha: Ohadayo Beatani
3:47 | Hanabi: ohadayo
3:48 | Tachi: Ohadayo!
3:50 | Inaba: おはだよ
3:50 | Alfa Ayed: ohadayo
3:50 | A A: Music stopped.
3:51 | Margrave: Ohadayo! 
3:51 | Des Dichado: Ohadayo!
3:51 | Voltage: OHADAYOOOO
3:51 | Mew: ohdayp
3:51 | Mags Durandal: Good morning!!
3:53 | thelastshinobi56: Ohadayo!!
3:53 | Ekigo: Ohadayo!
3:54 | Hastat: ohadayo
3:55 | Vitz: おはだよ！
3:55 | Zhnigo: y-you too
3:56 | Mister Eko: OHADAYO!!!
3:56 | Tachi: Good!
3:56 | estratos13: doing fine
3:58 | Absolute Link: great, thanks, and you?
3:59 | stuffed idiot: おはだよー
4:00 | Zeng: 結婚おめでとう！
4:00 | cycochaos2: Hello Bear daughter!
4:01 | imalittle cupcake: Watching my daughter's stream before sleeping
4:04 | Suukotto Funsha: Feeling good
4:04 | BasedBug: Lets gooooooo
4:08 | TheCanti: Good evening daughter 
4:10 | Voltage: how are you bear?
4:15 | Canna: It's been a nice day so far
4:27 | LassesAffar: KonCuteandfUNNY!
4:28 | Megiddo: I remember hair brushing
4:30 | Zhnigo: something something depression
4:33 | Sagettaja: yeah lets play
4:37 | A A: Groom her more.
4:45 | Verijero: h-hot
4:49 | TheCanti: 👏Congrats on the double marriage daughter 👏
4:58 | imalittle cupcake: Our daughter got married...they grow up so fast
4:58 | Zeng: you also stabbed Aubrey
