-11:06 | Drachen: 10 minutes...
-10:39 | Burzan: Cute and funny gang
-10:02 | OverMagnet: For all the new guys Beatani's greeting is OHADAYO. Doesn't matter if it's day or night every time is Ohadayo!
-9:56 | .sandrio: hello fellow kaigainikis
-9:51 | D3bugged: ToT
-9:10 | .sandrio: i still support the ohakuma but if she wants ohadayo then ohadayo is what shes gonna get
-9:07 | NatrixNatrix: 😭😭😭
-8:53 | Lord Sparda: 😭😭😭😭😭
-8:39 | Doctor Pavel: うおおおおあああああ 😭😭😭😭😭
-8:35 | Mew: Technically shes all fresh and genki it's 7 am in Japan
-8:22 | Rei Zero: what means dayo?
-7:58 | OverMagnet: LOL, bet by the end of the week she gets her 1000 subscribers.
-7:56 | .sandrio: also remember that she asked us to correct her english, but dont be obnoxious about it. correct her in a polite way
-7:28 | Ark K.: hello
-6:59 | OverMagnet: da yo is just an ending to a sentence. da is a shortened desu and yo is expressive, kinda like an exclaimation mark.
-6:04 | Jackku Chan: Soka wakattadayoo
-5:28 | Mew: wakattadayoo - Every time I see this I think of the Aoe of Empires 3 Japanese voices...
-5:08 | Elicus: who taught her about calling things DRUG
-4:52 | .sandrio: do you guys all know slay the spire? back when it came out and there were only 2 characters i played it a lot
-4:35 | Mew: 4 minutes (((o(*ﾟ▽ﾟ*)o)))
-4:17 | GrassHopperMouse: Kuma musume!
-4:16 | Sirboot: oh heck yeah I'm in time!
-4:16 | Eika: never played it
-3:37 | OverMagnet: After Beatani's last stream i watched a trailer. Looks interesting so I might buy it if i like what happens in this stream.
-3:06 | .sandrio: i dont want to ramble so this is my last comment before we start, but its a game that because of its turn based nature lends itself to theorycrafting with chat with is nice
-2:49 | NatrixNatrix: slay the spire is 4 year olds already? how the time flies
-2:49 | .sandrio: which*
-2:28 | O5060403: Slay the Spire is kamige desu
-2:22 | Mew: It's such an western indy game to me I was really surprised Japanese people played it
-2:01 | Karsh: Started playing it around a week or two after it came out on Steam, don't play it as much recently tho
-1:54 | Drachen: Wow, it's been sitting in my library untouched for that long. Perhaps Chisato-chan will inspire me to play it.
-1:26 | OverMagnet: 1 minute. LET'S GAOOOOO!
