-1:55 | BasedBug: Are we back?
-1:49 | LassesAffar: /yah/
-1:27 | BasedBug: This is a new place!
-1:24 | MBmasher: yah
-1:21 | Tachi: nyoron...
-1:16 | StrangerSeen: based bear will not quit until she gives birth to onii-chan
-1:14 | Destoroyar Fortress: Youtube is afraid of the strong bear
-1:09 | Nasty Yukari: Wow, two streams a few minutes apart from each other? We don't deserve her
-1:09 | Rye Mountain: This is a new place indeed, hope it works better
-1:05 | Matthew: Time for round 2
-0:58 | stuffed idiot: this seems familiar.....
-0:57 | Mizuki Arisu: yah!
-0:57 | BasedBug: The Youtube fears the Kuma
-0:53 | Ludwig Moons: this is the new place-
-0:33 | gyroninja: It's a double feature
-0:32 | Stray Wolf: this is a new place 
-0:27 | CantDood: take two
-0:22 | Mizuki Arisu: bliss.jpg 2.0
-0:17 | coba cobra: its usually chkn stream thats broken right?
-0:04 | Megiddo: Youtube pls
0:12 | Fake Name: Youtube for fuck's sake
0:17 | hohoemikuma: yah!
0:20 | Ludwig Moons: hell yea
0:21 | BasedBug: Please work this time
0:21 | Verijero: na there was an omori stream that had problems too irc
0:21 | Megiddo: It was a zatsudan that was broken last time
0:25 | webm aristocrat: this is a new timeloop
0:27 | Fake Name: We're in
0:32 | Ekusupuroshon: I want to see my son
0:33 | Stray Wolf: I'm timelooping
0:34 | james heller: looks good so far
0:36 | LassesAffar: kitra
0:40 | Stray Wolf: *record scratch* 
0:43 | Raziel: ZA WARUDO
0:48 | Tachi: !!
0:50 | Canna: Nice Merch reel. 
0:52 | knull: beah mug
0:54 | Megiddo: getting my bear shirts in a few weeks~
0:56 | Mizuki Arisu: the melancholy of kumagai chisato: endless bea
0:56 | Verijero: im gonna LOOOP
0:58 | Stray Wolf: "so you must be wondering how I ended up on this situation"
1:00 | gyroninja: おはだよ
1:01 | Destoroyar Fortress: This is Requiem
1:01 | Rye Mountain: Ohadayo, again
1:03 | BasedBug: I'M BLUE
1:04 | hohoemikuma: tantantantan
1:06 | Sheep: she back
1:09 | stuffed idiot: BLUE
1:17 | BasedBug: Ohadayo?
1:19 | Ekusupuroshon: Don't wear Jeans
1:22 | Momiji Channel: ohadayox2
1:22 | Verijero: kek
1:22 | stuffed idiot: おはだよ！
1:23 | Sheep: take 2
