-28:26 | XeniVari: 待機🐻‍❄🍀
-26:57 | Tachi: 待機🐻‍❄🍀
-26:00 | Jackku Chan: Yah!
-25:59 | 92Pesonen: Soon.. !🍀
-24:37 | HashSlash: 🐻‍❄🍀
-18:47 | Alfa Ayed: don't forget to make a "streaming soon" tweet
-15:39 | Raziel: oyahdayo
-15:02 | Verijero: ohadayo
-13:54 | Mew: 🐻‍❄🍀
-13:50 | (Owner) Beatani Ch. 熊谷ちさと: please a little wait, because OBS has a problem! about 10 min
-13:30 | XeniVari: No problem!
-13:29 | Verijero: no problem
-13:28 | HashSlash: No worries!
-13:28 | Megiddo: Okay, no problem.
-13:28 | Stray Wolf: oh no, okay
-13:24 | Hanabi: no prob
-13:22 | TWAIN: thought i was late for a second
-13:22 | Suukotto Funsha: No problem
-13:21 | Rye Mountain: No problem, we wait patiently
-13:21 | thelastshinobi56: okey
-13:18 | Nasty Yukari: NP
-13:18 | Atomized Atomizer: I'll wait
-13:18 | 92Pesonen: All good!
-12:53 | HashSlash: In the meantime, how are you fellow dads doing today?
-12:00 | Atomized Atomizer: I'm good, and I got my coffee too. You?
-11:46 | Nasty Yukari: Finally slept for more than 5 hours so I feel great
-11:24 | Rye Mountain: I'm happy for the EU friendly stream so I can sleep earlier than 3 today
-11:12 | Shippo: @Nasty Yukari next step is to sleep 12 hours per day (including naps)
-10:53 | james heller: Bear time
-8:19 | Alfa Ayed: we need more fanarts
-7:52 | kevzor: we need less "we need more" posters
-6:48 | imalittle cupcake: My daughter is streaming again, it's a good day
-2:08 | Voltage: 🍀🐻‍❄️🍀🐻‍❄️🍀🍀
-1:17 | Peer: 🐻‍❄️🍀
-1:04 | Peer: Im still not late, lol
-0:52 | MBmasher: oh phew i thought i was late hahah
-0:36 | Nasty Yukari: "Please wait patiently and have some nukumoli-tea"
0:06 | Ekusupuroshon: whoa
0:06 | MBmasher: woah loading screen
0:07 | Kofi: ooooo
0:12 | Margrave: Ya!
0:16 | Tachi: Ohadayo!
0:17 | Rye Mountain: Very nice
0:19 | Mew: Nice!!
0:19 | O5060403: Based waiting screen
0:21 | Zeng: ohadayo
0:21 | Krusher 99: nice
0:22 | Shippo: the sound has spooked me
0:22 | ユーネ / Yuune: ʕ ꈍᴥꈍʔʕ ꈍᴥꈍʔʕ ꈍᴥꈍʔ
0:28 | Zhnigo: ohadayo
0:29 | Stray Wolf: nice
0:29 | HashSlash: This is fancy
0:31 | imalittle cupcake: Ohadayo
0:32 | Jackku Chan: Scared my wits out
0:33 | Suukotto Funsha: This is great
0:35 | Gleb Rumyantsev: Nice loading screen 
0:40 | 92Pesonen: Stream is lagging on me unfortunately:buffering:
0:42 | Rye Mountain: Very based loading screen
0:47 | Stray Wolf: :buffering:
0:54 | HashSlash: Yeah mines being a bit jittery too
0:54 | Tianfang's Adventures: This is nice.
1:03 | Tachi: :buffering:
1:05 | Nasty Yukari: God-daaaaamn is this good!
1:05 | james heller: neat
1:07 | RobDeLaMort: Music makes me think of that guy who kept passing out on the rollercoaster
1:09 | Suukotto Funsha: The music is chill yet something you can bob your head to. 
1:26 | Mew: Or get PTSD from 2004
1:26 | TWAIN: 🐻‍❄🍀
1:30 | Raziel: brb, formatting my pc to install Beatani ya os
1:35 | Verijero: jamming to the beat rt
1:36 | Axem YT: nice!
1:37 | Verijero: rn
1:42 | Nasty Yukari: Please bob your head patiently and have some nukumoli-tea
1:44 | Yargolocus: Remember to like the stream
1:49 | Antonio Badilla: Ohadayo
1:54 | Voltage: ayyyyyyy windows remix
2:08 | ユーネ / Yuune: a bit laggy for me
2:16 | Megiddo: Youtube-kun be nice
2:17 | ユーネ / Yuune: nice op
2:18 | XeniVari: Aye, it's pretty choppy.
2:35 | HashSlash: Also was gonna question, is the loading bar itself meant to move more smoothly?
2:39 | TWAIN: smol :buffering:
2:40 | Megiddo: might need to manually change from auto
2:42 | estratos13: it has nice beats
2:46 | Ikxi: kuma waiting
2:49 | XeniVari: Yeah, loading bar is meant to be smooth.
2:51 | TWAIN: yeah it should be smooth
2:53 | Jinger Delno: I'm enjoying the loading screen
