-1:06:17 | KappaMikeyTSF: cute and funny bear hit 1k subs! let's go!!!
-38:48 | Otael: This game is very fun! I might not be able to watch this live but I hope cute and funny bear has a good time ☺️
-32:04 | Pekka.D: standing by:shelterin:
-24:53 | フェットチーネ: 待機
-22:20 | Sebastian: a
-15:34 | ThePlatinumCan: 待機:shelterin:
-14:57 | Apu 2: cute and funny
-5:49 | SkysNotTheLimit: Lets gooooo
-5:44 | SomeOriginalChannelName: :shelterin:
-5:25 | Mew: :shelterin:
-3:21 | Chloro [クロロ]: :shelterin:
-3:11 | Arthur C.: :shelterin:
-2:43 | Sunspots: shelterin
-2:19 | Vitz: :shelterin:
-1:02 | LoneRanger25: :shelterin:
0:14 | ThePlatinumCan: Let's goooo :chillwcat:
0:19 | hustler one: kita
0:20 | SkysNotTheLimit: こんばんわ! Good evening Beatani!
0:20 | Nikkeh: hi cunny
0:21 | gyroninja: おはだよ
0:21 | フェットチーネ: Ohadayo!
0:22 | wanted69642: :shelterin:
0:23 | Apu 2: LETS GO
0:24 | Kyle: OHAdayo~!
0:25 | Shuko: Ohadayo!
0:25 | mikkis: ohadayo
0:25 | Suukotto Funsha: :shelterin::shelterin: kita
0:27 | Simón: Hello!
0:29 | Nikkeh: hi cute and funny*
0:30 | ThePlatinumCan: Ohadayo!
0:31 | Hertan: Ohadayo!
0:33 | Arthur C.: Ohadayo!
0:34 | Kaiser Kebab: Ohadayo!
0:35 | Apu 2: cute and funny
0:37 | Ekigo: Ohadayo!
0:37 | Salamander: ohadayo!
0:37 | LoneRanger25: おはだよ！
0:40 | Rise Iri: Ohadayo!
0:40 | desushow: Ohadayo!
0:41 | Suukotto Funsha: Hello Beatani
0:42 | SomeOriginalChannelName: 🍀
0:42 | Chloro [クロロ]: Ohadayo!
0:43 | BakedBanana: oh
0:45 | Kuyashii: Hi cute and funny bear!
0:47 | XeniVari: Ohadayo!
0:49 | Jinhao: Ohadayo!
0:49 | SuRge - Diceroll D.: Ohadayo!
0:50 | (Verified, Moderator) Nightbot: @MonquSurtonpif -> Come on! [stop spamming emotes] [warning]
0:50 | (Verified, Moderator) Nightbot: @SomeOriginalChannelName -> Back to square one. [stop spamming caps] [warning]
0:50 | FerretParade: ohadayo
0:51 | GrassHopperMouse: Ohadayo!
0:52 | yuuyuu: おはだよ! 🐻
0:54 | Nig Scoopy: Ohadayo cute and funny bear
0:59 | Orange Princess: ohadayo
0:59 | L0rdJ0n3Z: ohadayo
1:04 | CPTpurrfect: Hello!
1:06 | TimmothyTurban: Yes
1:07 | railgun1016: Ohadayo!
1:08 | Kaiser Kebab: Yes
1:08 | SkysNotTheLimit: I've never seen this game before
1:15 | ThePlatinumCan: Yes
1:26 | (Verified, Moderator) Nightbot: zzzzzz
1:28 | Icebox551 Anthony: hello
1:29 | Theblekedet: same
1:29 | Kyle: :yougotthis:
1:30 | Chloro [クロロ]: First time playing? Ganbare!
1:32 | yuuyuu: ganbare!
1:36 | Theblekedet: Lets go!
1:54 | Kaiser Kebab: IKZ
1:56 | yuuyuu: brave bear!
1:59 | Orange Princess: wow bear live in woods
2:04 | Stuffed Potatoed: hello!!
2:04 | SkysNotTheLimit: Good luck!
2:04 | Sunspots: Hello!
2:05 | Margrave: Hello!
2:11 | TimmothyTurban: Normal is best 
2:15 | Master Menos: Greetings!
2:15 | Theblekedet: nightmare
2:16 | Idle Bear: Hello!
2:34 | StrangerSeen: kickstarter
2:34 | TimmothyTurban: like kickstarter
2:36 | gyroninja: A crowdfunding platform like kickstarter
2:36 | Sunspots: nightmare is permadeath dont do it hahaha
2:39 | Kyle: Indiegogo is a crowdfunding platform
2:52 | Cake Cheese: Good Evening こんばんは
2:55 | VampirkoO: Hello!
3:00 | SkysNotTheLimit: Respect the Windows XP Hills
3:09 | hustler one: Bears are king of the woods!
3:15 | Kaiser Kebab: Strong bear!
3:19 | ThePlatinumCan: Good luck!
3:23 | yuuyuu: bear in the woods
3:23 | Apu 2: strong bear
3:27 | Apu 2: king of the forest
3:30 | Apu 2: good luck bear chan
3:34 | Tunguska: Show them who's the boss of these woods
3:39 | knowsur: kusa
3:40 | Hertan: lol
3:41 | yuuyuu: 草
3:48 | Arthur C.: Beatani already won!
3:54 | Suukotto Funsha: VICTORY
3:55 | pakkanen: Konbanwa Beatani
3:55 | Apu 2: the leather club is two block down
3:56 | SkysNotTheLimit: Winner!
3:56 | Sunspots: it crashed? 草
3:57 | GrassHopperMouse: game is playing dead to avoid the bear
4:00 | Stray Wolf: good morning Beatani 
4:04 | Kuyashii: Flawless victory
