-3:18 | (New member) LassesAffar: 30????
-3:17 | (New member) Mister Eko: :_yab::_away::_handreps:
-3:15 | (New member) Margrave: :_uooooohh::_chihiro:
-3:13 | (New member) Momiji Channel: :_chihiro::_pain:
-3:07 | (New member) LassesAffar: amerikadads... your blood sugar reps...
-3:06 | (New member) Jackku Chan: :_handreps::_handreps::_uooooohh:
-3:03 | (New member) Mister Eko: :_yab:looks very clean
-3:00 | (New member) Ark K.: :_chihiro:
-2:54 | (New member) Big Gold: :_yab::_away:
-2:44 | (New member) Ekusupuroshon: :_yab::_away::_yah:
-2:42 | (New member) LassesAffar: :_mug:
-2:36 | (New member) Tachi: :_listener:
-2:36 | (New member) AnomalousRaven: :_handreps::_away:
-2:34 | (New member) Ekusupuroshon: :_uooooohh:
-2:28 | (New member) Megiddo: :_listener::_love::_chihiro:
-2:27 | SpaceTalon: 🐻‍❄🍀🐻‍❄🍀🐻‍❄🍀🐻‍❄🍀🐻‍❄🍀🐻‍❄
-2:22 | (New member) Theblekedet: :_meds:and:_handreps:everybody
-2:20 | (New member) Tianfang's Adventures: :_love:
-2:18 | (New member) Ark K.: :_lightstick::_love:
-2:18 | (New member) Randel Shurker: uoooooooooooooooooooooooooooooooooooohhhhhhhhhhhh
-2:17 | (New member) Shippo: :_listener::_love: :_chihiro::_love:
-2:15 | (New member) Ekusupuroshon: :_listener::_handreps:
-2:11 | (New member) Margrave: :_meds::_handreps:
-2:02 | (New member) Stray Wolf: :_pain::_pain::_pain:
-2:02 | (New member) Randel Shurker: :_uooooohh::_uooooohh::_uooooohh::_uooooohh::_uooooohh::_uooooohh:
-2:01 | (New member) Luginov: 2 more minutes :_pain:
-1:57 | (New member) Margrave: These are too good.
-1:50 | (New member) XenMaster220: I'm not taking my meds dads you can't make me :_meds::_away:
-1:49 | (New member) Shippo: :_lightstick::_chihiro::_lightstick:
-1:38 | (New member) Margrave: Waited 37 hours for this. :_pain:
-1:34 | (New member) Momiji Channel: :_chihiro::_away:
-1:33 | (New member) Tianfang's Adventures: disregard meds, acquire bear 
-1:33 | (New member) Kazoo: :_lightstick::_meds::_lightstick:
-1:32 | (New member) Lazm: IM HERE
-1:28 | (New member) Zia: :_listener:
-1:24 | (New member) BasedBug: I'm excited to see what everyone has made!
-1:23 | (New member) ユーネ: :_listener:
-1:19 | (New member) Shippo: :_lightstick::_mug::_lightstick:
-1:12 | (New member) Kazoo: beer is meds
-1:10 | (New member) Tachi: :_lightstick::_listener:
-1:04 | (New member) Theblekedet: :_nukutea:with:_meds:
-0:59 | (New member) Canna: May the least revolting breakfast win 
-0:54 | (New member) Peer: :_listener:
-0:46 | (New member) Lazm: Anyone else find it really hot when they can hear Bea blowing cigarette or vape smoke too close to the mic?
-0:33 | (New member) Voltage: :_listener::_listener::_listener::_uooooohh::_uooooohh:
-0:26 | (New member) ThePlatinumCan: It's time!!
-0:23 | (New member) Kazoo: no ear peropero
-0:19 | (New member) Shippo: :_uooooohh:
-0:18 | (New member) Mister Eko: A single cookie for breakfast bros...
-0:10 | (New member) Lazm: Blow smoke in my ear Bea
0:04 | (New member) Lodowa Wrozka: she is being late. I'M CONCERNING
0:06 | (New member) Shippo: homelessdad...
0:08 | (New member) LassesAffar: i love it when i hear bea scratching her stretch marks
0:08 | (New member) anonEDM: :_kita:
0:10 | (New member) Luginov: :_kita::_uooooohh:
0:10 | (New member) max r: let's gooooo
0:10 | (New member) Shippo: :_kita:
0:13 | (New member) BasedBug: Ohadayo!
0:14 | (New member) Shippo: wait no opening?
0:14 | (New member) Momiji Channel: :_kita:
0:17 | (New member) LassesAffar: :_kita:
0:17 | (New member) Zhnigo: OGADAYO :_sprdo:
0:17 | (New member) Steven Frati: Pepporoni pizza slice and orange soda for breakfast contest.
0:17 | (New member) Megiddo: Ohadayo~
0:19 | (New member) Tachi: :_listener:
0:20 | Theodore Kaczynski: Hello funny abuse bear!
0:21 | (New member) Kofi: ohadayo
0:23 | (New member) XenMaster220: Here we go!!!:_kita::_kita::_love:
0:24 | (New member) Mister Eko: cold intro lol
0:26 | (New member) Rye Mountain: :_oha::_dayo:
0:26 | (New member) Big Gold: :_lightstick::_lightstick::_lightstick:
0:27 | cycochaos2: Hello Beatani!
0:27 | (New member) Jackku Chan: YAH
0:27 | (New member) Mister Eko: :_oha::_dayo:
0:28 | (New member) Moeniki: 待機:_listener:
0:28 | (New member) Tianfang's Adventures: :_yab:
0:28 | (New member) Hanabi: :_oha::_dayo:
0:29 | (New member) ThePlatinumCan: :_kita::_kita::_kita:
0:30 | (New member) max r: :_oha::_dayo:
0:30 | (New member) Zia: The real beatani?
0:31 | (New member) Ekusupuroshon: ogadayo!!!!:_love::_love::_love::_love:
0:32 | (New member) Suukotto Funsha: :_oha::_dayo: Bea
0:32 | (New member) Raziel: :_oha::_dayo:
0:33 | (New member) Momiji Channel: :_oha::_dayo::_love:
0:33 | (New member) BasedBug: No intro this time, this is serious
0:33 | darukaru: Ohadayo~
0:33 | (New member) Luginov: :_oha::_dayo:
0:33 | (New member) Canna: Ohadayo! 
0:34 | (New member) david johnston: :_oha::_dayo::_sprdo:
0:34 | Disgrace: Good morning Beatani 
0:34 | (New member) XenMaster220: :_oha::_dayo:
0:35 | (New member) クラガリ葉月: :_oha::_dayo:
0:35 | (New member) Tachi: :_oha::_dayo:
0:35 | (New member) Peer: Ohadayo
0:36 | Mizuki Arisu: Ohadayo!
0:37 | (New member) Theblekedet: :_oha::_dayo::_bea:
0:38 | TheTarkus: LETS GOOOOOOO
0:38 | (New member) Megiddo: reverbbbb
0:39 | (New member) 77Yuja_: WOAH
0:40 | (New member) Zhnigo: Happy birthday :_bea: 
0:40 | (New member) Steven Frati: :_oha::_dayo:
0:40 | (New member) ThatVidyaGuy: :_oha::_dayo:
0:40 | (New member) Zyadarya: :_oha::_dayo::_sprdo:
0:40 | (New member) ThePlatinumCan: :_oha::_dayo::_love:
0:40 | (New member) Ekigo: :_oha::_dayo:
0:41 | (New member) gyroninja: :_oha::_dayo: :_dayo: :_dayo:
0:42 | (New member) Tianfang's Adventures: :_love:Time for bear
0:43 | (New member) anonEDM: :_oha::_dayo:
0:43 | (New member) Takahama Nuuta: :_listener:
