-0:32 | (New member) BasedBug: rrats..
-0:17 | (New member) gyroninja: ...
-0:11 | (New member) Nasty Yukari: the rrats got to her...
-0:08 | (New member) BRAD AEON 720: I can't believe rrats killed the stream...
-0:08 | (New member) Fake Name: Karl Marx you did this!
-0:04 | (New member) Luginov: :_oha:
-0:00 | (New member) Moeniki: 待機:_sprdo:
0:06 | (New member) Rob G.: creepy neet santa ojisan
0:07 | (New member) Mister Eko: OHADAYO
0:09 | (New member) Moeniki: :_oha::_dayo:
0:16 | (New member) ThatVidyaGuy: She rejected capitalism so hard her stream failed
0:16 | (New member) BasedBug: My Slay the Spire game just fucked me, LETS GOOOOOOOOOOO
0:18 | (New member) Zhnigo: ogey
0:20 | (New member) Suukotto Funsha: ohadayo again
0:20 | (New member) Tachi: :_oha::_dayo:
0:20 | stuffed idiot: IKZ
0:20 | (New member) Raziel: I 'ate rrats. I like the bear. Simple as.
0:21 | (New member) Fake Name: O H A D A Y O
0:22 | (New member) ZVN: :_oha::_dayo:
0:23 | (New member) Mister Eko: we are back
0:23 | (New member) Ekusupuroshon: RRAT
0:23 | (New member) クラガリ葉月: :_oha::_dayo::_bea::_sprdo:
0:23 | (New member) CommanderMichael: ohadayo~~
0:24 | Denied: ohadayo
0:25 | (New member) Kyle: :_oha::_dayo:
0:26 | (New member) ThatVidyaGuy: muted bear
0:27 | ConeMan: whyd i get another notif for a stream
0:28 | darukaru: rrats off to ya
0:29 | (New member) Megiddo: The rrats were too strong
0:29 | (New member) ZVN: You're muted
0:31 | (New member) Sol Codguy: :_kita:
0:32 | (New member) ThatVidyaGuy: :_oha::_dayo:
0:33 | RobDeLaMort: Seems fine now
0:34 | (New member) Zhnigo: bea your unmuting reps...
0:36 | (New member) Hanabi: Susan HATE
0:38 | Deeroya: We're back!
0:38 | (New member) BRAD AEON 720: ogey
0:38 | (New member) gyroninja: :_oha::_dayo:
0:42 | (New member) Mister Eko: did you win?
0:46 | (New member) Nanashi: :_sprdo:
0:46 | (New member) sleepypwns: :_yah:
