-57:41 | Cherry dude: you better behave youtube
-53:15 | Vitz: 待機🐻‍❄ youtubeくん。。。お願い。。。
-12:11 | Aggressive Quack: 💪 🐻 youtube better be behaving
-10:58 | Takeshi: youtube kun onegai
-10:44 | Fettuccine フェットチーネ: 待機🐻‍❄
-4:41 | Leyva Diaz Alejandro Ivan: :yougotthis::yougotthis:
-4:06 | Mew: :yougotthis::yougotthis:
-1:55 | kevzor: 🍀🐻‍❄
-1:31 | max r: omori🐻
-1:23 | Aggressive Quack: 🐻 🍀
-1:13 | max r: yah!
0:03 | HashSlash: 🐻‍❄🍀
0:08 | Megiddo: ohadayo~
0:09 | SkysNotTheLimit: Ohadayo!!
0:12 | Des Dichado: Ohadayo!
0:13 | Margrave: Ohadayo!
0:16 | estratos13: time for Based bear is here
0:17 | Ekigo: Ohadayo!
0:17 | Kyle: OHAdayo~!
0:18 | Nasty Yukari: Ohadayo!
0:20 | Rob G.: ohadayo~~
0:21 | Mew: Ohadayo!!
0:22 | Suukotto Funsha: Ohadayo Beatani
0:23 | Rye Mountain: Ohadayo!
0:23 | Aggressive Quack: Ohadayo!
0:24 | ellescer: Yo
0:24 | るむ: Ohadayo!
0:24 | kevzor: Ohadayo!
0:26 | Ekusupuroshon: Ohadayo!!!!
0:26 | Canna: Ohadayo!!!!
0:27 | クラガリ葉月: おはだよ
0:30 | HashSlash: Ohadayo!
0:30 | estratos13: Ohayooo
0:31 | gyroninja: ohadayo
0:32 | Arthur C.: Ohadayo!
0:32 | Orange Princess: ohadayo!!
0:33 | SkysNotTheLimit: Give Youtube our power!
0:33 | Vitz: おはだよ！
0:36 | Nasty Yukari: So it seems
0:37 | CantDood: Ohadayo!
0:39 | Aggressive Quack: Based
0:40 | Chloro [クロロ]: Ohadayo!
0:40 | hustler one: the start of the stream always surprises me since there's no intro
0:40 | kevzor: nice!
0:40 | Idle Bear: Ohadayo! 
0:43 | Tianfang's Adventures: Bear time 
0:47 | MazingerRed: Ohadayo!
0:51 | coba cobra: good morning
0:52 | Leyva Diaz Alejandro Ivan: ohadayo
0:52 | Ain't It: Ohagayo! 
0:53 | るむ: 初見です。このゲーム好き c:
0:53 | Anashti Sola-Ui: Hello Kuma
0:54 | Monster hmc: hii
0:58 | I like the spikeman: Ohadayo!
1:01 | ChefHART: BASED BEAR 
1:06 | Transcendental_ColonThree: Omori is truly a masterpiece...
1:09 | The Mythical Wa Ge: hello beatani
1:10 | Kemonomimi: Ohadayo
1:11 | Takeshi: ohadayo!
1:12 | るむ: オモリ
1:16 | Zwelltic: ohadayo
1:21 | imalittle cupcake: Bear queen imoutoooo
1:37 | Fettuccine フェットチーネ: Ohadayo!
1:38 | SkysNotTheLimit: Wow, I hope you enjoy it
1:44 | aux: ohadayo
1:46 | Transcendental_ColonThree: Fun thing it released on the christmas day
1:47 | max r: i waited 30 years to be a father to a cute bear. i understand
1:50 | Aggressive Quack: 6 years? man thats a while
1:51 | Velayduan Subash: OG OMORI WAITER WOOO
1:52 | MazingerRed: Ohadayo!
2:04 | james heller: Ohadayo!
2:05 | るむ: A Japanese translation is in development. I'm excited for that.
2:13 | Meneltir: おはだよ
2:22 | Ekusupuroshon: bros...
2:32 | Megiddo: ooh this looks neat
2:33 | Velayduan Subash: Kuma did you see Pretty Boy?
2:51 | Ekigo: the art style seems super cool
2:54 | AnomalousRaven: 番茶
3:17 | ellescer: Bearchads not like this....
3:20 | Rob G.: Omori feels ...重い
3:23 | Transcendental_ColonThree: Have you played OMORI before Beatani?
3:42 | Aggressive Quack: This game is pretty based
3:57 | Stray Wolf: ohadayo 
3:59 | Ekusupuroshon: Is like Pokemon haha
4:00 | Kyle: You have a cat!
4:03 | SkysNotTheLimit: Trapped on the Internet?
4:03 | Chloro [クロロ]: BGMいいね
4:13 | Monster hmc: its okay for me
4:16 | pakkanen: こんにちは Beatani
4:17 | max r: cat = good, dog = bad
4:20 | Leyva Diaz Alejandro Ivan: :chillwcat::chillwcat::chillwcat:
4:26 | kevzor: mewo
4:26 | Rob G.: meow nya~~
4:28 | imalittle cupcake: bear making cat noises
4:39 | Aggressive Quack: Dogs beware
4:42 | HashSlash: :chillwcat::chillwcat::chillwcat:
4:45 | james heller: Dog hate
4:50 | Mew: Sadness 
4:51 | I like the spikeman: Sadness
4:52 | kevzor: sadness
4:53 | monkeynohito: sadnesses
4:53 | max r: sadness\
4:54 | Canna: Sorrow = Sadness 
4:56 | Takeshi: kanashi
4:57 | Des Dichado: sadness
4:59 | Aggressive Quack: sorrows = sadness
4:59 | Tianfang's Adventures: sorrows is sadness 
5:01 | Hanabi: sorrow - sadness
5:04 | Rob G.: 悲しみ
5:13 | Señor Seki: spooky
5:18 | (Verified, Moderator) Streamlabs: gnt just tipped $10.00 dayo!
5:25 | Aggressive Quack: Oooo spooky book
5:32 | SkysNotTheLimit: Fearless bear!
5:34 | Margrave: Very ominous...
5:44 | Glave-San: Hello Kuma~!
5:47 | Rob G.: it's ok
5:51 | Zeng: creepy notebook
5:53 | Suukotto Funsha: This guy has some issues. That's a lot of blood
5:56 | imalittle cupcake: Oniichan will protect you
6:02 | SukiKirai: that's cute
6:02 | CantDood: first horror game stream!
6:03 | Ekusupuroshon: Bear... don't look...
6:04 | monkeynohito: Beartani might regret some of the pictures she requested...
6:27 | Aggressive Quack: Cute
6:29 | Verijero: reminds me of IB
6:30 | max r: lol 
6:42 | Mew: What a nice child only best thoughts
6:49 | SkysNotTheLimit: this is relatable
6:58 | Arthur C.: Jiiii~
7:01 | Nasty Yukari: Jiiii~
7:25 | max r: everything is daijoubou
7:37 | MazingerRed: Everything was okay.
7:39 | Chloro [クロロ]: What a lazy journal
7:49 | るむ: There's 2 variations, but they're mostly the same.
7:50 | ノイド: Today, I spent time in xp hill. Everything was okay.
7:51 | Ekusupuroshon: Internet is scary...
7:55 | Verijero: laptop warmed a lap lol
8:18 | estratos13: ok is scary
8:30 | SkysNotTheLimit: UH OH
8:30 | Ekusupuroshon: A white door played
8:35 | max r: 🔪
8:35 | Moeniki: kowai!!
8:37 | Transcendental_ColonThree: 🔪
8:49 | Mew: Shiny 
8:50 | Ekusupuroshon: Genocide route?
8:51 | Des Dichado: Shiny knife~
8:51 | HashSlash: This series is gonna be so fun if shes already spooked
8:54 | Transcendental_ColonThree: 🔪✨
8:59 | Verijero: bad ending :(
8:59 | Aggressive Quack: 🔪
9:04 | Transcendental_ColonThree: @HashSlash lmao ikr
9:42 | Verijero: when was this game released?
9:58 | Mags Durandal: This part reminds me of Yume Nikki
10:05 | SkysNotTheLimit: This apartment kind of sucks, knifes and worms and stuff
10:10 | Señor Seki: last year
10:12 | HashSlash: @Verijero December 2020
10:20 | るむ: You had to get the knife first.
10:29 | Verijero: yeah it reminds me of those horror rpgs of the 2010s
10:31 | Verijero: thanks
10:56 | Transcendental_ColonThree: Yumenikki meets Earthbound
10:57 | るむ: アーブリ
11:59 | Nasty Yukari: Is that a waffle inside a kiddie pool
12:23 | Kyle: Looks like a tentacle
12:24 | るむ: It's a tentacle
12:43 | Kyle: Quest GET
12:52 | RADEON360: Morning Beatani
13:30 | CantDood: looks like an egg
13:33 | imalittle cupcake: That smile warms my heart
13:37 | I like the spikeman: Squishy Squishy
13:42 | RADEON360: you stepped in poop?
13:45 | Rob G.: うんち!!
13:45 | OverMagnet: ぬいぐるみ
13:47 | ノイド: yep sunny side up egg
13:51 | Fettuccine フェットチーネ: 森
13:53 | Ekusupuroshon: sounds kinda lewd
14:08 | EryQ53: How is that a stuffed toy?
14:58 | Megiddo: Your comprehension is so good Beatani!
15:00 | Verijero: i want to know where
15:09 | Ekusupuroshon: Get along!
15:15 | Rob G.: don't fight!
15:23 | BasedBug: Beatani being the mom here
15:37 | Des Dichado: Beatani the elementary school teacher
15:44 | Sunspots: Hello!
15:45 | Verijero: beatani learning english!
15:54 | Mew: Now thats an RPG
15:58 | Señor Seki: follow the leader
16:00 | kevzor: mamatani
16:03 | Verijero: damn this reminds me of pokemon yellow now
16:06 | Rob G.: she leads the pack
16:20 | Hanabi: this game looks like some kinda reese's cup mashup of earthbound/mother and yume nikki
16:20 | SkysNotTheLimit: Wow, thanks for the clams?
16:24 | monkeynohito: Bosstani
16:30 | Kyle: Snake dad?
16:32 | monkeynohito: The Boss of Children
16:36 | I like the spikeman: Thank you Snake!
16:38 | Mew: あさり 
16:42 | るむ: clams
16:53 | kevzor: clam
16:55 | Des Dichado: clams, not claims
16:57 | BasedBug: Clam, not claim I think
16:58 | Aggressive Quack: Clam
16:58 | Rob G.: clam = 蛤
16:59 | EryQ53: Clam
17:02 | max r: clam like seafood
17:04 | Nasty Yukari: lol "claim"
17:18 | Aggressive Quack: 🐍
17:22 | Nasty Yukari: I'd be annoyed if I got 50 "claims"
17:27 | SkysNotTheLimit: Seafood is the best currency
17:30 | Zeng: clams is a slang for money
17:35 | imalittle cupcake: Very good bear
17:38 | Verijero: good snake = ok
17:42 | kevzor: not fucking snake 
17:54 | Hanabi: clam = seafood, claim = statement
17:56 | KappaMikeyTSF: good morning, Beatani
17:56 | (Verified, Moderator) Streamlabs: max just tipped $5.00 dayo!
18:08 | Ekusupuroshon: Now it reminds me of Zelda haha
18:10 | Nasty Yukari: Not fucking snake, dad snake
18:16 | Rob G.: enough for a couple of dinners
18:35 | Sunspots: it is true i am a pleb
18:53 | MiiMuu: the art style of this game is so nice
19:14 | BasedBug: This feels really liminal
19:16 | max r: this is a cute and funny game. it is not scary.
19:28 | kevzor: a picnic!
19:47 | Ekusupuroshon: pikuniku
20:14 | Sunspots: made to look like a gameboy color game
20:17 | Rob G.: yeah Earthbound/Mother feel from this is strong
20:46 | HashSlash: The beginning feels very Mother/Undertaley but it finds its own footing quickly enough
21:27 | Nasty Yukari: The choice of colors in this part makes me crave marshmallows 
21:33 | Rye Mountain: I really like listening to beatnis voice
21:43 | MiiMuu: it is very sweet looking
21:47 | Nasty Yukari: "get a load of this guy"
21:50 | Ekusupuroshon: Basil... that's creepy
22:08 | max r: 📸
22:14 | Verijero: pikuniku!
22:35 | ノイド: lol
22:37 | John Saints: B(r)asil
22:48 | Verijero: come to B(r)asil
22:51 | Mew: バジルてめえ
23:12 | Ekusupuroshon: Don't take me to B(r)asil
23:20 | Aggressive Quack: Basil tastes good
23:27 | HashSlash: I pronounce it Bazz-ill too, dont worry
23:34 | Nasty Yukari: Based
23:34 | ellescer: >Brazil
23:41 | BasedBug: Based-ill
23:54 | MiiMuu: brazil wouldn't taste as good 💦
24:03 | Rob G.: Masayoshi Minoshima's song
24:06 | Mew: 🌿Basil
24:11 | SukiKirai: aubrey is cute
24:13 | Kemonomimi: We’re going to Brazil 🇧🇷 
24:17 | Jessica: cute photo album
24:25 | CantDood: oh nice pics
24:27 | CLOSJ9: True, it is nice and based
24:29 | HashSlash: Make sure to zoom in and read!
24:33 | Zeng: who took the picture with basil in it
24:43 | MiiMuu: F E E T
24:44 | Mew: 足
24:55 | Akka Oni: this game is so cute
25:08 | Mew: 🍆🍆 eggplant
25:12 | Zeng: Kel
25:15 | Chloro [クロロ]: Omori?
25:29 | Mags Durandal: Friends having fun
25:33 | Verijero: isnt watermelon + milk awful for your stomach?
25:44 | max r: he is sad , so he is black and white
25:50 | Aggressive Quack: he a sad boi
25:50 | Akka Oni: You will learn why later
25:52 | るむ: The answer is a spoiler
