-1:47:10 | (New member) Shippo: □
-1:25:15 | (New member) LoneRanger25: :_sprdo:
-57:12 | (New member) Tachi: :_sprdo:
-54:05 | (New member) BasedBug: /YAH/
-49:47 | (New member) max r: :_sprdo:
-49:28 | (New member) max r: Did Beatani rig the wheel?
-47:06 | (New member) Peer: :_sprdo:🍀
-46:00 | (New member) Moeniki: 待機:_dayo::_sprdo:
-31:34 | (New member) ThePlatinumCan: :_sprdo:
-24:32 | (New member) Karren Taleb: :_yah::_yah::_yah:
-18:22 | (New member) Mew: I have to go to sleep but will watch VoD! Good luck
-7:59 | (New member) CommanderMichael: :_sprdo::_sprdo::_sprdo: get hyped
-7:17 | Voltage: hi bear!!!???
-6:40 | (New member) Lazm: dad in for landing
-4:21 | (New member) フェットチーネ: :_nukutea::_nukutea::_nukutea:
-4:13 | (New member) Steven Frati: Assembly of fools.
-4:08 | (New member) Theblekedet: This is gonna be good
-3:38 | stuffed idiot: 🐻‍❄🍀 I wonder what topics will come up
-3:21 | (New member) BasedBug: 🙌 Hands are still clean
-3:03 | (New member) max r: probably how sore your arms are
-2:55 | (New member) CommanderMichael: inb4 some people will find a way to ask for more ring fit streams
-2:25 | (New member) Tachi: :_kita::_kita::_kita:
-2:18 | (New member) The Flesh Is Weak: if dubs I rub
-2:08 | (New member) max r: anything but apex
-1:27 | (New member) Megiddo: 🐻‍❄🍀
-1:23 | (New member) BasedBug: Her not liking FPS games actually has that advantage
-1:12 | (New member) gyroninja: 待機
-0:34 | (New member) Mister Eko: LET'S GO EURO DADS
-0:06 | (New member) BasedBug: I cannot stress enough how much I appreciate the EU dads that watch these late streams
-0:03 | (New member) RBZE7: Hi fellow dads and moms and brothers and sisters and friends and aunts etc
-0:00 | (New member) CantDood: I want more ringfit streams
0:08 | (New member) nona: I love Bea!
0:17 | (New member) ThePlatinumCan: :_kita:
0:21 | Indago: It
0:25 | (New member) RBZE7: gonna admit I can't into 5am streams, but 2am is ezpz
0:26 | (New member) Margrave: :_yah:
0:27 | Indago: It's finally happening! 
0:29 | (New member) max r: :_kita::_kita:
0:30 | (New member) Rye Mountain: 2am lets go!
0:30 | (New member) Megiddo: :_kita:
0:31 | Sheep: just in time
0:34 | (New member) Xayn: There's no excuse for not being awake at 2am
0:34 | stuffed idiot: IKZ
0:35 | (New member) gyroninja: ikz
0:35 | (New member) Hanabi: :_sprdo:
0:35 | (New member) Steven Frati: :_kita::_yah:
0:37 | (New member) Simón: :_oha: :_dayo: 
0:40 | (New member) Shippo: 2am bros :_kita:
0:42 | (New member) Matthew: :_kita:
0:43 | (New member) nona: 1am
0:45 | (New member) クラガリ葉月: □
0:46 | (New member) CommanderMichael: :_kita::_kita::_kita::_sprdo:
0:47 | (New member) Megiddo: based EU dads
0:51 | (New member) Antonio Badilla: :_sprdo:
0:51 | (New member) フェットチーネ: :_kita:
0:57 | Sheep: lots of people in the 2am timezone uh
0:58 | (New member) AlexMoron: :_oha::_dayo:
0:59 | (New member) Ekusupuroshon: :_kita::_kita:
