-7:43 | (New member) XeniVari: 待機
-6:51 | Voltage: you bonk with supas or so i have been told
-5:15 | (Owner) Beatani Ch. 熊谷ちさと: 帰れ
-5:13 | (Owner) Beatani Ch. 熊谷ちさと: dont watch
-5:08 | (Owner) Beatani Ch. 熊谷ちさと: too many
-4:58 | (New member) Matthew: you can't stop me
-4:55 | (New member) クラガリ葉月: Don't tell me what to do.
-4:46 | (New member) Fake Name: I'm sorry, but I must watch
-4:44 | (Owner) Beatani Ch. 熊谷ちさと: 114人？？？
-4:43 | (New member) nona: okay goodbye
-4:41 | (Owner) Beatani Ch. 熊谷ちさと: 帰れ帰れ
-4:30 | (New member) Satorin_Komeiji: let's go!
-4:16 | (New member) Satorin_Komeiji: :_kita:
-4:15 | (New member) Matthew: 1k when?
-4:14 | stuffed idiot: voyeur dads aren't going anywhere
-4:07 | (New member) Zia: I will keep stream paused and only watch chat then, sure
-4:07 | (New member) billy joe【liar】: Don't tell your dads what to do
-4:04 | (New member) Rye Mountain: You can't tell me what to do
-3:51 | (New member) 77Yuja_: for whom?
-3:48 | (New member) Fake Name: 帰れない
-3:40 | Horror: all me
-3:32 | (New member) BasedBug: FOR WHAT
-3:13 | Dr CEL: Hi Honey
-2:50 | (New member) Tachi: Ojisan detected
-2:49 | (New member) TWAIN: :_kita:
-2:45 | (New member) Theblekedet: No
-2:38 | (New member) Sol Codguy: FOR HEARTH AND HOME
-2:33 | (New member) nona: I'm going to go watch Temma study english goodbye
-2:33 | (New member) Mister Eko: eurogang... let's go...
-2:12 | (New member) Tachi: :_kita::_kita:
-2:05 | (New member) Fake Name: See you in two minutes
-1:52 | Voltage: 2:30 am bea you better get punished
-1:41 | (New member) Zia: Breaking your sleep schedule for her!
-1:23 | Voltage: 🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀
-1:17 | Voltage: cloverbeardayo
-1:17 | (New member) BasedBug: What sort of self-flagellation can she do from XP hill?
-1:09 | (New member) Zeng: :_oha::_dayo:
-0:49 | (New member) ThePlatinumCan: Eurobros, let's GOOOO
-0:41 | Voltage: waiting for bear.....
-0:32 | (New member) nona: Don't teach her such fancy terms
-0:28 | (New member) Suukotto Funsha: 🍀🐻‍❄
-0:28 | Sheep: she's just gonna bonk us
-0:25 | (New member) A A: Who is getting punished today?
-0:10 | Voltage: 🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀🍀🍀
-0:06 | (New member) nona: Eurobros
-0:05 | Brandon21: her punishment is upgrading to windows vista
-0:05 | (New member) Margrave: Good question 
-0:04 | sp33d4l0l: yes
-0:03 | (New member) Silverion: bear slept in
-0:03 | (New member) Tachi: Who knows...
0:01 | Herbie Cucumber: youm
0:03 | (New member) CantDood: for you
0:11 | Voltage: AHHHH
0:14 | (New member) クラガリ葉月: :_kita:
0:14 | (New member) ThatVidyaGuy: here we go
0:18 | (New member) LassesAffar: :_oha::_dayo:
0:20 | (New member) Matthew: LET'S GOOO
0:20 | Brandon21: IKUZOOOOOOOOOOOOOO
0:22 | (New member) Takahama Nuuta: :_kita:
0:23 | (New member) Zia: I wouldn't wish Vista on anyone, even as punishment. Windows Millenium maybe.
0:25 | (New member) Tachi: :_kita:
0:26 | (New member) TWAIN: loading bear
0:27 | AtomicBanana 55: Oh!
0:28 | (New member) The Pope: IKZ IKZ IKZ
0:28 | Your Local Weeb: the jam
0:28 | (New member) CommanderMichael: :_kita::_kita::_kita:
0:29 | (New member) A A: Default view activate.
0:31 | TheHighestNativeGod: hi fellow moms
0:32 | Voltage: bea getting fancy with the for whom
0:34 | (New member) ユーネ: :_sprdo::_sprdo::_sprdo:
0:35 | (New member) Luginov: :_kita:
0:35 | (New member) Mechanized Doge: >late by 30 seconds
0:37 | Sheep: thank you youtube
0:39 | (New member) BasedBug: Fingers crossed
0:40 | (New member) Sol Codguy: :_kita:
0:41 | (New member) ThePlatinumCan: IKZ
0:43 | Dr CEL: will she say Hi Honey???
0:43 | (New member) Riptide Maurader: :_kita:
0:45 | (New member) Steven Frati: :_kita:
0:50 | (New member) The Pope: 40 viewers wiped out by Susan in one second
0:54 | (New member) Stray Wolf: 140 viewer got reduced to just 40 
0:56 | Voltage: you have to donate
0:58 | (New member) 77Yuja_: beadani :_sprdo:
1:01 | (New member) TWAIN: 39 watching now, every single time youtube without fail
1:05 | (New member) Luginov: good bye 100 viewers
1:05 | (New member) Stray Wolf: interesting code susan
1:05 | (New member) hohoemikuma: :_kita: 
1:05 | (New member) Zia: time to refresh I gues
1:06 | (New member) Margrave: :_sprdo::_sprdo::_sprdo:
1:08 | Voltage: susan getting bonked
1:10 | Your Local Weeb: wtf
1:11 | (New member) Antonio Badilla: Susan hate
1:11 | stuffed idiot: classic youtube
1:12 | (New member) Mister Eko: BEA LOVE
1:13 | (New member) BasedBug: gimi raiggonen in the chat
1:20 | Dr CEL: 🍯
1:20 | (New member) Rye Mountain: Remember to turn of your adblockers
1:21 | (New member) Matthew: Youtube HATE
1:24 | TheHighestNativeGod: susan AWAY
1:25 | Brandon21: It says 121 to me
1:25 | AtomicBanana 55: Glad I survived the purge lol
1:28 | (New member) ThePlatinumCan: Susan, get your shit done
1:28 | RobDeLaMort: Ref hate wait wrong stream
1:28 | (New member) Raziel: Susan is CRINGE
1:29 | (New member) Zeng: punishment for youtube
1:29 | Your Local Weeb: WHAT DID YOU DO SUSAN
1:32 | (New member) Atomsk: :_oha::_dayo:
1:33 | (New member) ThatVidyaGuy: Susan and Bezos keep bullying my daughter
1:36 | (New member) XenMaster220: Bea love!
1:37 | Voltage: refresh the stream tab listenerchan_
1:40 | (New member) OverMagnet: Oh god, what did we do now Dads?
1:44 | Sheep: only the strong are left
1:47 | (New member) Atomsk: what is it? some adblock voodoo?
1:52 | Your Local Weeb: that horse faced bi-*banned*
2:02 | (New member) Stray Wolf: says 56 right now
2:02 | (New member) Fake Name: Don't worry Bea, only 55 watching!
2:07 | Andrew Ryan: I'm lady for the punishment
2:12 | (New member) ThatVidyaGuy: oh yeah disabling adblock adds a view I heard
2:14 | (New member) ThatVidyaGuy: ima try that
2:16 | (New member) Ark K.: punishment?
2:21 | stuffed idiot: antibot measures by youtube
2:24 | (New member) BasedBug: A hundred dads ran off when the stream started
2:33 | (New member) Antonio Badilla: The Susan fears the bear
2:38 | RobDeLaMort: Monobeatani
2:43 | (New member) ThatVidyaGuy: deadbeat dads
2:47 | The Mythical Wa Ge: alright this bgm is pretty great
2:51 | (New member) Luginov: Kuma incites fear
2:53 | Andrew Ryan: no streamlab link in the description?
3:00 | (New member) ThatVidyaGuy: She made it herself
3:00 | (New member) Ark K.: which one of you dads are (female)? 🔫
3:01 | (New member) gyroninja: XP Intro Song 1 Hour Version
3:03 | (New member) OverMagnet: Bear Mauling time boyz!
3:07 | 「Loru Apollo」: this bgm slaps
3:14 | (New member) ユーネ: :_sprdo::_sprdo::_sprdo:
3:15 | Your Local Weeb: over 100 dads went for cigs
3:18 | sp33d4l0l: only rollercoasters and Finns can scare the bear
3:20 | (New member) Shippo: there are only moms (male) here
3:22 | Axiis: i want die
3:27 | (New member) ユーネ: :_oha::_dayo:
3:28 | (New member) Zeng: :_kita:
3:28 | (New member) BasedBug: Ohadayo!
3:29 | (New member) The Flesh Is Weak: ogadayo
3:31 | (New member) gyroninja: :_oha::_dayo:
3:31 | (New member) Forestrack 54: Everyone is female here duh
3:31 | (New member) Matthew: :_oha::_dayo:
3:31 | (New member) imalittle cupcake: Ohadayo!
3:31 | Brandon21: 🙋
3:31 | (New member) The Pope:  :_oha::_dayo:
3:32 | (New member) Shippo: from 150 to 73, typical youtube
3:32 | (New member) Rye Mountain: :_oha::_dayo:
3:32 | (New member) XeniVari: Ohadayo!
3:33 | (New member) TWAIN: 🔇
3:33 | (New member) The Flesh Is Weak: :_sprdo:
3:33 | (New member) Verijero: heello
